"dairportid","dcity","dcountry","dlatitude","dlongitude","dtimezone","ddst"
"'1818'","Matamoros","Mexico",25.769894,-97.525311,1,"S"
"'1819'","Merida","Mexico",20.936981,-89.657672,1,"S"
"'1820'","Mexicali","Mexico",32.630634,-115.241637,1,"S"
"'1821'","Morelia","Mexico",19.849944,-101.0255,1,"S"
"'1822'","Minatitlan","Mexico",18.103419,-94.580681,1,"S"
"'1824'","Mexico City","Mexico",19.436303,-99.072097,1,"S"
"'1825'","Monterrey","Mexico",25.778489,-100.106878,1,"S"
"'1826'","Mazatlan","Mexico",23.161356,-106.266072,1,"S"
"'1828'","Nuevo Laredo","Mexico",27.443918,-99.57046,1,"S"
"'1829'","Oaxaca","Mexico",16.999906,-96.726639,1,"S"
"'1830'","Poza Rico","Mexico",20.602671,-97.460839,1,"S"
"'1831'","Puebla","Mexico",19.158144,-98.371447,1,"S"
"'1834'","Piedras Negras","Mexico",28.627394,-100.535211,1,"S"
"'1835'","Uruapan","Mexico",19.396692,-102.039056,1,"S"
"'1836'","Puerto Vallarta","Mexico",20.680083,-105.254167,1,"S"
"'1837'","Puerto Escondido","Mexico",15.876861,-97.089117,1,"S"
"'1838'","Queretaro","Mexico",20.617289,-100.185658,1,"S"
"'1839'","Reynosa","Mexico",26.008908,-98.228513,1,"S"
"'1840'","San Jose Del Cabo","Mexico",23.15185,-109.721044,1,"S"
"'1842'","San Luis Potosi","Mexico",22.254303,-100.930806,1,"S"
"'1845'","Torreon","Mexico",25.568278,-103.410583,1,"S"
"'1846'","Tuxtla Gutierrez","Mexico",16.561822,-93.026081,1,"S"
"'1847'","Tijuana","Mexico",32.541064,-116.970158,1,"S"
"'1848'","Tampico","Mexico",22.29645,-97.865931,1,"S"
"'1850'","Toluca","Mexico",19.337072,-99.566008,1,"S"
"'1851'","Tapachula","Mexico",14.794339,-92.370025,1,"S"
"'1852'","Cancun","Mexico",21.036528,-86.877083,1,"S"
"'1853'","Villahermosa","Mexico",17.997,-92.817361,1,"S"
"'1854'","Vera Cruz","Mexico",19.145931,-96.187267,1,"S"
"'1855'","Zacatecas","Mexico",22.897112,-102.68689,1,"S"
"'1856'","Zihuatanejo","Mexico",17.601569,-101.460536,1,"S"
"'1858'","Manzanillo","Mexico",19.144778,-104.558631,1,"S"
"'1863'","Managua","Nicaragua",12.141494,-86.168178,1,"U"
"'1865'","Bocas Del Toro","Panama",9.340853,-82.250842,2,"U"
"'1866'","Changuinola","Panama",9.458636,-82.516806,2,"U"
"'1867'","David","Panama",8.391003,-82.434992,2,"U"
"'1869'","Panama","Panama",8.973339,-79.555583,2,"U"
"'1871'","Panama City","Panama",9.071364,-79.383453,2,"U"
"'1879'","Golfito","Costa Rica",8.653775,-83.180544,1,"U"
"'1881'","Liberia","Costa Rica",10.593289,-85.544408,1,"U"
"'1884'","Nosara Beach","Costa Rica",9.97649,-85.653,1,"U"
"'1885'","San Jose","Costa Rica",9.993861,-84.208806,1,"U"
"'1887'","Palmar Sur","Costa Rica",8.951025,-83.468583,1,"U"
"'1889'","Quepos","Costa Rica",9.443164,-84.129772,1,"U"
"'1892'","San Salvador","El Salvador",13.440947,-89.055728,1,"U"
"'1895'","Cap Haitien","Haiti",19.732989,-72.194739,2,"U"
"'1897'","Port-au-prince","Haiti",18.58005,-72.292542,2,"U"
"'1903'","Cayo Largo del Sur","Cuba",21.616453,-81.545989,2,"U"
"'1904'","Camaguey","Cuba",21.420428,-77.847433,2,"U"
"'1905'","Santiago De Cuba","Cuba",19.969769,-75.835414,2,"U"
"'1908'","Guantanamo","Cuba",20.085419,-75.158328,2,"U"
"'1909'","Havana","Cuba",22.989153,-82.409086,2,"U"
"'1910'","Holguin","Cuba",20.785589,-76.315108,2,"U"
"'1918'","Santa Clara","Cuba",22.492192,-79.943611,2,"U"
"'1923'","Varadero","Cuba",23.034445,-81.435278,2,"U"
"'1925'","Cayman Barac","Cayman Islands",19.686981,-79.882789,2,"U"
"'1926'","Georgetown","Cayman Islands",19.292778,-81.35775,2,"U"
"'1930'","Marsh Harbor","Bahamas",26.511406,-77.083472,2,"U"
"'1932'","Spring Point","Bahamas",22.441828,-73.970858,2,"U"
"'1934'","Treasure Cay","Bahamas",26.745336,-77.391269,2,"U"
"'1937'","Alice Town","Bahamas",25.699881,-79.264656,2,"U"
"'1941'","Great Exuma","Bahamas",23.562631,-75.877958,2,"U"
"'1943'","North Eleuthera","Bahamas",25.474861,-76.683489,2,"U"
"'1944'","Governor's Harbor","Bahamas",25.284706,-76.331011,2,"U"
"'1946'","Rock Sound","Bahamas",24.8917,-76.177739,2,"U"
"'1948'","Freeport","Bahamas",26.558686,-78.695553,2,"U"
"'1949'","Matthew Town","Bahamas",20.975,-73.666862,2,"U"
"'1950'","Dead Man's Cay","Bahamas",23.179014,-75.093597,2,"U"
"'1951'","Stella Maris","Bahamas",23.581444,-75.270475,2,"U"
"'1952'","Mayaguana","Bahamas",22.379528,-73.0135,2,"U"
"'1953'","Nassau","Bahamas",25.038958,-77.466231,2,"U"
"'1956'","Cockburn Town","Bahamas",24.063275,-74.523967,2,"U"
"'1957'","Belize City","Belize",17.539144,-88.308203,1,"U"
"'1958'","Aitutaki","Cook Islands",-18.830922,-159.764233,1,"U"
"'1959'","Avarua","Cook Islands",-21.202739,-159.805556,1,"U"
"'1960'","Nandi","Fiji",-17.755392,177.443378,5,"U"
"'1961'","Nausori","Fiji",-18.043267,178.559228,5,"U"
"'1963'","Tongatapu","Tonga",-21.241214,-175.149644,5,"U"
"'1965'","Tarawa","Kiribati",1.381636,173.147036,5,"U"
"'1968'","Wallis","Wallis and Futuna",-13.238281,-176.199228,5,"U"
"'1969'","Faleolo","Samoa",-13.829969,-172.008336,5,"U"
"'1970'","Pago Pago","American Samoa",-14.331,-170.7105,1,"U"
"'1971'","Rurutu","French Polynesia",-22.434069,-151.360614,1,"U"
"'1972'","Tubuai","French Polynesia",-23.365353,-149.524072,1,"U"
"'1975'","Tikehau","French Polynesia",-15.119617,-148.230697,1,"U"
"'1977'","Fakarava","French Polynesia",-16.05415,-145.656994,1,"U"
"'1978'","Manihi","French Polynesia",-14.436764,-146.070056,1,"U"
"'1979'","Totegegie","French Polynesia",-23.079861,-134.890333,1,"U"
"'1980'","Kaukura Atoll","French Polynesia",-15.663333,-146.884769,1,"U"
"'1981'","Makemo","French Polynesia",-16.583919,-143.658369,1,"U"
"'1983'","Takapoto","French Polynesia",-14.709544,-145.245814,1,"U"
"'1984'","Arutua","French Polynesia",-15.248289,-146.616708,1,"U"
"'1985'","Mataiva","French Polynesia",-14.868055,-148.717225,1,"U"
"'1986'","Takaroa","French Polynesia",-14.455781,-145.024542,1,"U"
"'1987'","Nuku Hiva","French Polynesia",-8.795603,-140.228789,1,"U"
"'1989'","Bora Bora","French Polynesia",-16.444378,-151.751286,1,"U"
"'1990'","Rangiroa","French Polynesia",-14.954283,-147.6608,1,"U"
"'1991'","Huahine Island","French Polynesia",-16.687242,-151.021667,1,"U"
"'1992'","Moorea","French Polynesia",-17.489972,-149.761869,1,"U"
"'1993'","Hao Island","French Polynesia",-18.074814,-140.945886,1,"U"
"'1994'","Maupiti","French Polynesia",-16.426486,-152.243669,1,"U"
"'1995'","Raiatea Island","French Polynesia",-16.722861,-151.465856,1,"U"
"'1997'","Port-vila","Vanuatu",-17.699325,168.319794,5,"U"
"'1998'","Kone","New Caledonia",-21.053428,164.837806,5,"U"
"'1999'","Koumac","New Caledonia",-20.546314,164.255625,5,"U"
"'2000'","Lifou","New Caledonia",-20.7748,167.239864,5,"U"
"'2001'","Noumea","New Caledonia",-22.258278,166.472806,5,"U"
"'2002'","Mare","New Caledonia",-21.481678,168.037508,5,"U"
"'2003'","Touho","New Caledonia",-20.790028,165.259486,5,"U"
"'2004'","Ouvea","New Caledonia",-20.640556,166.572778,5,"U"
"'2005'","Noumea","New Caledonia",-22.014553,166.212972,5,"U"
"'2006'","Auckland","New Zealand",-37.008056,174.791667,5,"Z"
"'2007'","Taupo","New Zealand",-38.739723,176.084444,5,"Z"
"'2009'","Christchurch","New Zealand",-43.489358,172.532225,5,"Z"
"'2011'","Dunedin","New Zealand",-45.928055,170.198333,5,"Z"
"'2012'","Gisborne","New Zealand",-38.663333,177.978333,5,"Z"
"'2014'","Hokitika","New Zealand",-42.713611,170.985278,5,"Z"
"'2015'","Hamilton","New Zealand",-37.866661,175.332056,5,"Z"
"'2017'","Kerikeri","New Zealand",-35.262779,173.911944,5,"Z"
"'2018'","Kaitaia","New Zealand",-35.07,173.285278,5,"Z"
"'2023'","New Plymouth","New Zealand",-39.008611,174.179167,5,"Z"
"'2024'","Nelson","New Zealand",-41.298333,173.221111,5,"Z"
"'2025'","Invercargill","New Zealand",-46.412408,168.312992,5,"Z"
"'2028'","Palmerston North","New Zealand",-40.320556,175.616944,5,"Z"
"'2029'","Paraparaumu","New Zealand",-40.904722,174.989167,5,"Z"
"'2030'","Queenstown International","New Zealand",-45.021111,168.739167,5,"Z"
"'2031'","Rotorua","New Zealand",-38.109167,176.317222,5,"Z"
"'2034'","Tauranga","New Zealand",-37.671944,176.19611,5,"Z"
"'2035'","Timaru","New Zealand",-44.302778,171.225278,5,"Z"
"'2037'","Woodbourne","New Zealand",-41.518333,173.870278,5,"Z"
"'2041'","Whakatane","New Zealand",-37.920556,176.914167,5,"Z"
"'2042'","Wellington","New Zealand",-41.327221,174.805278,5,"Z"
"'2045'","Whangarei","New Zealand",-35.768333,174.365,5,"Z"
"'2046'","Westport","New Zealand",-41.738056,171.580833,5,"Z"
"'2047'","Wanganui","New Zealand",-39.962222,175.025278,5,"Z"
"'2048'","Herat","Afghanistan",34.210017,62.2283,4,"U"
"'2050'","Kabul","Afghanistan",34.565853,69.212328,4,"U"
"'2051'","Kandahar","Afghanistan",31.505756,65.847822,4,"U"
"'2053'","Mazar-i-sharif","Afghanistan",36.706914,67.209678,4,"U"
"'2057'","Bahrain","Bahrain",26.270834,50.63361,4,"U"
"'2059'","Abha","Saudi Arabia",18.240367,42.656625,4,"U"
"'2060'","Al-ahsa","Saudi Arabia",25.285306,49.485189,4,"U"
"'2061'","El-baha","Saudi Arabia",20.296139,41.634277,4,"U"
"'2062'","Bisha","Saudi Arabia",19.98435,42.620881,4,"U"
"'2064'","Dammam","Saudi Arabia",26.471161,49.79789,4,"U"
"'2066'","Gizan","Saudi Arabia",16.901111,42.585833,4,"U"
"'2067'","Gassim","Saudi Arabia",26.302822,43.773911,4,"U"
"'2068'","Guriat","Saudi Arabia",31.411942,37.279469,4,"U"
"'2069'","Hail","Saudi Arabia",27.437917,41.686292,4,"U"
"'2072'","Jeddah","Saudi Arabia",21.679564,39.156536,4,"U"
"'2074'","Madinah","Saudi Arabia",24.553422,39.705061,4,"U"
"'2075'","Nejran","Saudi Arabia",17.611436,44.419169,4,"U"
"'2076'","Hafr Al-batin","Saudi Arabia",28.335192,46.125069,4,"U"
"'2081'","Rafha","Saudi Arabia",29.626419,43.490614,4,"U"
"'2082'","Riyadh","Saudi Arabia",24.95764,46.698776,4,"U"
"'2084'","Arar","Saudi Arabia",30.906589,41.138217,4,"U"
"'2086'","Sharurah","Saudi Arabia",17.466875,47.121431,4,"U"
"'2089'","Tabuk","Saudi Arabia",28.365417,36.618889,4,"U"
"'2090'","Taif","Saudi Arabia",21.483418,40.544334,4,"U"
"'2093'","Turaif","Saudi Arabia",31.692683,38.7312,4,"U"
"'2095'","Wejh","Saudi Arabia",26.198553,36.476381,4,"U"
"'2096'","Yenbo","Saudi Arabia",24.144244,38.06335,4,"U"
"'2097'","Abadan","Iran",30.371111,48.228333,4,"E"
"'2103'","Bandar Mahshahr","Iran",30.556192,49.151879,4,"E"
"'2104'","Ahwaz","Iran",31.337431,48.76195,4,"E"
"'2106'","Bushehr","Iran",28.944811,50.834637,4,"E"
"'2109'","Kish Island","Iran",26.526156,53.980211,4,"E"
"'2110'","Bandar Lengeh","Iran",26.532,54.824847,4,"E"
"'2114'","Bakhtaran","Iran",34.345853,47.158128,4,"E"
"'2117'","Sanandaj","Iran",35.245856,47.009247,4,"E"
"'2123'","Rasht","Iran",37.325314,49.605817,4,"E"
"'2131'","Teheran","Iran",35.689167,51.313416,4,"E"
"'2134'","Bandar Abbas","Iran",27.218317,56.37785,4,"E"
"'2136'","Kerman","Iran",30.274444,56.951111,4,"E"
"'2142'","Birjand","Iran",32.898056,59.266111,4,"E"
"'2151'","Ramsar","Iran",36.909908,50.679589,4,"E"
"'2157'","Shiraz","Iran",29.539242,52.589786,4,"E"
"'2162'","Tabriz","Iran",38.133889,46.235,4,"E"
"'2164'","Yazd","Iran",31.904908,54.276503,4,"E"
"'2166'","Chah Bahar","Iran",25.44335,60.382114,4,"E"
"'2167'","Zahedan","Iran",29.475686,60.906189,4,"E"
"'2170'","Amman","Jordan",31.722556,35.993214,4,"E"
"'2172'","Aqaba","Jordan",29.611619,35.018067,4,"E"
"'2176'","Kuwait","Kuwait",29.226567,47.968928,4,"U"
"'2177'","Beirut","Lebanon",33.820931,35.488389,4,"E"
"'2179'","Abu Dhabi","United Arab Emirates",24.432972,54.651138,4,"U"
"'2180'","Abu Dhabi","United Arab Emirates",24.428333,54.458084,4,"U"
"'2188'","Dubai","United Arab Emirates",25.252778,55.364444,4,"U"
"'2189'","Fujeirah","United Arab Emirates",25.112225,56.323964,4,"U"
"'2191'","Sharjah","United Arab Emirates",25.328575,55.51715,4,"U"
"'2192'","Khasab","Oman",26.170986,56.240569,4,"U"
"'2194'","Muscat","Oman",23.593278,58.284444,4,"U"
"'2195'","Salalah","Oman",17.038719,54.091297,4,"U"
"'2202'","Faisalabad","Pakistan",31.365014,72.994842,4,"N"
"'2203'","Gwadar","Pakistan",25.233308,62.329494,4,"N"
"'2204'","Gilgit","Pakistan",35.918786,74.333644,4,"N"
"'2206'","Karachi","Pakistan",24.906547,67.160797,4,"N"
"'2207'","Lahore","Pakistan",31.521564,74.403594,4,"N"
"'2212'","Moenjodaro","Pakistan",27.335156,68.143053,4,"N"
"'2214'","Multan","Pakistan",30.203222,71.419111,4,"N"
"'2217'","Panjgur","Pakistan",26.954547,64.132517,4,"N"
"'2219'","Peshawar","Pakistan",33.993911,71.514581,4,"N"
"'2221'","Quetta","Pakistan",30.251369,66.937764,4,"N"
"'2222'","Rahim Yar Khan","Pakistan",28.3839,70.279572,4,"N"
"'2223'","Islamabad","Pakistan",33.616653,73.099233,4,"N"
"'2227'","Sukkur","Pakistan",27.721989,68.791683,4,"N"
"'2233'","Zhob","Pakistan",31.358381,69.463606,4,"N"
"'2234'","Basrah","Iraq",30.549069,47.662142,4,"U"
"'2241'","Doha","Qatar",25.261125,51.565056,4,"U"
"'2243'","Rota","Northern Mariana Islands",14.174308,145.242536,5,"U"
"'2244'","Saipan","Northern Mariana Islands",15.119003,145.729356,5,"U"
"'2246'","Agana","Guam",13.48345,144.795983,5,"U"
"'2249'","Majuro","Marshall Islands",7.064758,171.272022,5,"U"
"'2251'","Kwajalein","Marshall Islands",8.720122,167.731661,5,"U"
"'2252'","Kiritimati","Kiribati",1.986161,-157.349778,1,"U"
"'2254'","Chuuk","Micronesia",7.461869,151.843006,5,"U"
"'2255'","Pohnpei","Micronesia",6.9851,158.208989,5,"U"
"'2256'","Babelthuap","Palau",7.367303,134.544278,5,"U"
"'2257'","Kosrae","Micronesia",5.356975,162.958386,5,"U"
"'2258'","Yap","Micronesia",9.498911,138.082497,5,"U"
"'2259'","Kinmen","Taiwan",24.427892,118.359197,5,"U"
"'2262'","Fengnin","Taiwan",22.754986,121.101681,5,"U"
"'2264'","Kaohsiung","Taiwan",22.577094,120.350006,5,"U"
"'2268'","Taichung","Taiwan",24.264668,120.62058,5,"N"
"'2270'","Tainan","Taiwan",22.950361,120.205778,5,"U"
"'2272'","Makung","Taiwan",23.568669,119.628311,5,"U"
"'2275'","Taipei","Taiwan",25.069722,121.5525,5,"U"
"'2276'","Taipei","Taiwan",25.077731,121.232822,5,"U"
"'2278'","Hualien","Taiwan",24.023725,121.616906,5,"U"
"'2279'","Tokyo","Japan",35.764722,140.386389,5,"U"
"'2280'","Matsumoto","Japan",36.166758,137.922669,5,"U"
"'2281'","Ibaraki","Japan",36.181083,140.415444,5,"U"
"'2284'","Nanki-shirahama","Japan",33.662222,135.364444,5,"U"
"'2286'","Obihiro","Japan",42.733333,143.217222,5,"U"
"'2287'","Sapporo","Japan",42.7752,141.692283,5,"U"
"'2288'","Hakodate","Japan",41.77,140.821944,5,"U"
"'2290'","Memanbetsu","Japan",43.880606,144.164053,5,"U"
"'2291'","Nakashibetsu","Japan",43.5775,144.96,5,"U"
"'2294'","Wakkanai","Japan",45.404167,141.800833,5,"U"
"'2295'","Iki","Japan",33.749027,129.785417,5,"U"
"'2296'","Yamaguchi","Japan",33.93,131.278611,5,"U"
"'2297'","Tsushima","Japan",34.284889,129.33055,5,"U"
"'2298'","Monbetsu","Japan",44.303914,143.404028,5,"U"
"'2299'","Asahikawa","Japan",43.670833,142.4475,5,"U"
"'2304'","Fukue","Japan",32.666269,128.832808,5,"U"
"'2305'","Fukuoka","Japan",33.585942,130.450686,5,"U"
"'2307'","Kagoshima","Japan",31.803397,130.719408,5,"U"
"'2308'","Miyazaki","Japan",31.877222,131.448611,5,"U"
"'2310'","Oita","Japan",33.479444,131.737222,5,"U"
"'2311'","Kitakyushu","Japan",33.845942,131.034689,5,"U"
"'2312'","Kumamoto","Japan",32.837319,130.85505,5,"U"
"'2313'","Nagasaki","Japan",32.916944,129.913611,5,"U"
"'2316'","Amami","Japan",28.430633,129.712542,5,"U"
"'2322'","Kanazawa","Japan",36.394611,136.406544,5,"U"
"'2324'","Toyama","Japan",36.648333,137.1875,5,"U"
"'2326'","Hiroshima","Japan",34.436111,132.919444,5,"U"
"'2327'","Okayama","Japan",34.756944,133.855278,5,"U"
"'2328'","Izumo","Japan",35.413611,132.89,5,"U"
"'2330'","Miho","Japan",35.492222,133.236389,5,"U"
"'2332'","Kochi","Japan",33.546111,133.669444,5,"U"
"'2333'","Matsuyama","Japan",33.827222,132.699722,5,"U"
"'2334'","Osaka","Japan",34.785528,135.438222,5,"U"
"'2335'","Tottori","Japan",35.530069,134.166553,5,"U"
"'2336'","Tokushima","Japan",34.132808,134.606639,5,"U"
"'2337'","Takamatsu","Japan",34.214167,134.015556,5,"U"
"'2340'","Aomori","Japan",40.734722,140.690833,5,"U"
"'2341'","Yamagata","Japan",38.411894,140.371331,5,"U"
"'2344'","Hanamaki","Japan",39.428611,141.135278,5,"U"
"'2345'","Akita","Japan",39.615556,140.218611,5,"U"
"'2346'","Misawa","Japan",40.703222,141.368364,5,"U"
"'2347'","Sendai","Japan",38.139722,140.916944,5,"U"
"'2352'","Hachijojima","Japan",33.115,139.785833,5,"U"
"'2356'","Oshima","Japan",34.782033,139.360306,5,"U"
"'2359'","Tokyo","Japan",35.552258,139.779694,5,"U"
"'2361'","Kwangju","South Korea",35.126389,126.808889,5,"U"
"'2365'","Yeosu","South Korea",34.842328,127.61685,5,"U"
"'2370'","Cheju","South Korea",33.511306,126.493028,5,"U"
"'2372'","Busan","South Korea",35.179528,128.938222,5,"U"
"'2374'","Ulsan","South Korea",35.593494,129.351722,5,"U"
"'2378'","Seoul","South Korea",37.558311,126.790586,5,"U"
"'2380'","Pohang","South Korea",35.987858,129.420486,5,"U"
"'2381'","Taegu","South Korea",35.894108,128.658856,5,"U"
"'2384'","Okinawa","Japan",26.195814,127.645869,5,"N"
"'2387'","Ishigaki","Japan",24.344525,124.186983,5,"U"
"'2388'","Kumejima","Japan",26.363506,126.713806,5,"U"
"'2390'","Miyako","Japan",24.782833,125.295111,5,"U"
"'2397'","Manila","Philippines",14.508647,121.019581,5,"N"
"'2399'","Cotabato","Philippines",7.165242,124.209619,5,"N"
"'2400'","Ladag","Philippines",8.415619,124.611219,5,"N"
"'2401'","Pagadian","Philippines",7.827197,123.458294,5,"N"
"'2404'","Zamboanga","Philippines",6.922419,122.059633,5,"N"
"'2422'","Tacloban","Philippines",11.227628,125.027758,5,"N"
"'2423'","Bacolod","Philippines",10.642511,122.929617,5,"N"
"'2425'","Dumaguete","Philippines",9.333714,123.300472,5,"N"
"'2429'","Iloilo","Philippines",10.713044,122.545297,5,"N"
"'2430'","Kalibo","Philippines",11.679431,122.376294,5,"N"
"'2433'","Puerto Princesa","Philippines",9.742119,118.758731,5,"N"
"'2435'","San Jose","Philippines",10.766044,121.933439,5,"N"
"'2439'","Parana","Argentina",-31.794778,-60.480361,2,"N"
"'2440'","Rosario","Argentina",-32.903611,-60.785,2,"N"
"'2441'","Santa Fe","Argentina",-31.711666,-60.811668,2,"N"
"'2442'","Buenos Aires","Argentina",-34.559175,-58.415606,2,"N"
"'2443'","Cordoba","Argentina",-31.323619,-64.207953,2,"N"
"'2452'","Mendoza","Argentina",-32.831717,-68.792856,2,"N"
"'2454'","San Rafael","Argentina",-34.588314,-68.403854,2,"N"
"'2455'","Catamarca","Argentina",-28.593214,-65.750925,2,"N"
"'2456'","Santiago Del Estero","Argentina",-27.765617,-64.310122,2,"N"
"'2458'","La Rioja","Argentina",-29.381636,-66.795839,2,"N"
"'2460'","Tucuman","Argentina",-26.840861,-65.104944,2,"N"
"'2461'","San Julian","Argentina",-31.571472,-68.418194,2,"N"
"'2467'","San Luis","Argentina",-33.273192,-66.356422,2,"N"
"'2469'","Resistencia","Argentina",-27.449986,-59.056125,2,"N"
"'2470'","Formosa","Argentina",-26.212722,-58.228111,2,"N"
"'2471'","Iguazu Falls","Argentina",-25.737281,-54.473444,2,"N"
"'2474'","Posadas","Argentina",-27.385839,-55.970728,2,"N"
"'2476'","Salta","Argentina",-24.855978,-65.486169,2,"N"
"'2477'","Jujuy","Argentina",-24.392778,-65.097778,2,"N"
"'2487'","Comodoro Rivadavia","Argentina",-45.785347,-67.465508,2,"N"
"'2488'","Esquel","Argentina",-42.90795,-71.139472,2,"N"
"'2490'","Trelew","Argentina",-43.2105,-65.270319,2,"N"
"'2491'","Viedma","Argentina",-40.869222,-63.000389,2,"N"
"'2492'","Puerto Madryn","Argentina",-42.759161,-65.102725,2,"N"
"'2495'","Rio Grande","Argentina",-53.777667,-67.749389,2,"N"
"'2496'","Rio Gallegos","Argentina",-51.608875,-69.312636,2,"N"
"'2497'","Ushuaia","Argentina",-54.843278,-68.29575,2,"N"
"'2501'","Bahia Blanca","Argentina",-38.724967,-62.169317,2,"N"
"'2508'","Mar Del Plata","Argentina",-37.934167,-57.573333,2,"N"
"'2509'","Neuquen","Argentina",-38.949,-68.155711,2,"N"
"'2512'","Santa Rosa","Argentina",-36.588322,-64.275694,2,"N"
"'2513'","San Carlos De Bariloche","Argentina",-41.151172,-71.157542,2,"N"
"'2517'","San Martin Des Andes","Argentina",-40.075383,-71.137294,2,"N"
"'2518'","Conceicao Do Araguaia","Brazil",-8.348347,-49.301528,2,"S"
"'2521'","Araracuara","Brazil",-21.812,-48.133028,2,"S"
"'2522'","Aracaju","Brazil",-10.984,-37.070333,2,"S"
"'2524'","Alta Floresta","Brazil",-9.866092,-56.106206,2,"S"
"'2525'","Aracatuba","Brazil",-21.141342,-50.424722,2,"S"
"'2526'","Belem","Brazil",-1.37925,-48.476292,2,"S"
"'2528'","Belo Horizonte","Brazil",-19.851181,-43.950628,2,"S"
"'2531'","Brasilia","Brazil",-15.8711,-47.918625,2,"S"
"'2533'","Boa Vista","Brazil",2.846311,-60.690069,2,"S"
"'2535'","Cascavel","Brazil",-25.000339,-53.500764,2,"S"
"'2537'","Belo Horizonte","Brazil",-19.63375,-43.968856,2,"S"
"'2538'","Campo Grande","Brazil",-20.468667,-54.6725,2,"S"
"'2539'","Chapeco","Brazil",-27.134219,-52.656553,2,"S"
"'2541'","Criciuma","Brazil",-28.725817,-49.424739,2,"S"
"'2543'","Campos","Brazil",-21.698333,-41.301669,2,"S"
"'2544'","Corumba","Brazil",-19.011931,-57.673053,2,"S"
"'2545'","Curitiba","Brazil",-25.528475,-49.175775,2,"S"
"'2547'","Caxias Do Sul","Brazil",-29.197064,-51.187536,2,"S"
"'2548'","Cuiaba","Brazil",-15.652931,-56.116719,2,"S"
"'2549'","Cruzeiro do Sul","Brazil",-7.599906,-72.769489,2,"S"
"'2550'","President Prudente","Brazil",-22.175056,-51.424639,2,"S"
"'2551'","Manaus","Brazil",-3.038611,-60.049721,2,"S"
"'2554'","Foz Do Iguacu","Brazil",-25.59615,-54.487206,2,"S"
"'2555'","Florianopolis","Brazil",-27.670489,-48.547181,2,"S"
"'2556'","Fernando Do Noronha","Brazil",-3.854928,-32.423336,2,"S"
"'2559'","Fortaleza","Brazil",-3.776283,-38.532556,2,"S"
"'2560'","Rio De Janeiro","Brazil",-22.808903,-43.243647,2,"S"
"'2562'","Goiania","Brazil",-16.632033,-49.220686,2,"S"
"'2564'","Sao Paulo","Brazil",-23.432075,-46.469511,2,"S"
"'2566'","Altamira","Brazil",-3.253906,-52.253978,2,"S"
"'2569'","Ilheus","Brazil",-14.815964,-39.033197,2,"S"
"'2570'","Ipatinga","Brazil",-19.470722,-42.487583,2,"S"
"'2572'","Imperatriz","Brazil",-5.531292,-47.46005,2,"S"
"'2575'","Joao Pessoa","Brazil",-7.148381,-34.950681,2,"S"
"'2576'","Joinville","Brazil",-26.224453,-48.797364,2,"S"
"'2577'","Campina Grande","Brazil",-7.269917,-35.896364,2,"S"
"'2578'","Campinas","Brazil",-23.0075,-47.134444,2,"S"
"'2581'","Londrina","Brazil",-23.333625,-51.130072,2,"S"
"'2582'","Bom Jesus Da Lapa","Brazil",-13.262086,-43.408114,2,"S"
"'2584'","Maraba","Brazil",-5.368589,-49.138025,2,"S"
"'2586'","Maringa","Brazil",-23.476392,-52.016406,2,"S"
"'2587'","Montes Claros","Brazil",-16.706925,-43.8189,2,"S"
"'2590'","Maceio","Brazil",-9.510808,-35.791678,2,"S"
"'2591'","Macapa","Brazil",0.050664,-51.072178,2,"S"
"'2595'","Navegantes","Brazil",-26.879999,-48.65139,2,"S"
"'2596'","Santo Angelo","Brazil",-28.281683,-54.169139,2,"S"
"'2597'","Natal","Brazil",-5.911417,-35.247717,2,"S"
"'2599'","Porto Alegre","Brazil",-29.994428,-51.171428,2,"S"
"'2602'","Passo Fundo","Brazil",-28.243989,-52.326558,2,"S"
"'2603'","Pelotas","Brazil",-31.718353,-52.327689,2,"S"
"'2604'","Petrolina","Brazil",-9.362411,-40.569097,2,"S"
"'2607'","Porto Velho","Brazil",-8.709294,-63.902281,2,"S"
"'2609'","Rio Branco","Brazil",-9.583,-67.4836,2,"S"
"'2610'","Recife","Brazil",-8.126794,-34.923039,2,"S"
"'2611'","Rio Grande","Brazil",-32.082617,-52.166542,2,"S"
"'2612'","Rio De Janeiro","Brazil",-22.910461,-43.163133,2,"S"
"'2613'","Ribeirao Preto","Brazil",-21.134167,-47.774189,2,"S"
"'2615'","Sao Jose Dos Campos","Brazil",-23.228172,-45.862739,2,"S"
"'2616'","Sao Luis","Brazil",-2.585361,-44.234139,2,"S"
"'2618'","Sao Paulo","Brazil",-23.626692,-46.655375,2,"S"
"'2619'","Sao Jose Do Rio Preto","Brazil",-20.816567,-49.406511,2,"S"
"'2621'","Salvador","Brazil",-12.910994,-38.331044,2,"S"
"'2622'","Oriximina","Brazil",-1.4896,-56.396803,2,"S"
"'2623'","Teresina","Brazil",-5.059942,-42.823478,2,"S"
"'2624'","Tefe","Brazil",-3.382944,-64.724056,2,"S"
"'2628'","Tabatinga","Brazil",-4.255669,-69.935828,2,"S"
"'2629'","Tucurui","Brazil",-3.786008,-49.720267,2,"S"
"'2631'","Paulo Alfonso","Brazil",-9.400878,-38.250575,2,"S"
"'2632'","Uruguaiana","Brazil",-29.782178,-57.038189,2,"S"
