"userid","ureviewcnt","ustars","vuseful","vfunny","vcool","gender"
"9CfVkXle219-ENfB3jTerg",1,5,1,1,1,"F"
"9cGbd7Qv15LlWO8JJe22lQ",1,4,0,0,0,"M"
"9CIwY0Uvy9L0Ss-Z4YGwBQ",9,3.33,14,2,2,"M"
"9ciypC9v7QSILPpT5lacFw",4,4.75,1,0,1,"M"
"9CKe9yUEriKrevT7enpDxQ",7,4.57,6,0,0,"M"
"9cLBI7hhgScn3lHjY4nAaQ",16,4.12,13,3,4,"F"
"9ClFfo7nBDm0nj-eDF_54Q",6,3.5,3,1,0,"F"
"9Clth7uPKIdcSMEwkH0q-A",2,2.5,4,0,0,"F"
"9CnkqXgz8JzBfcpOErFGvA",13,3.46,3,1,4,"M"
"9CQUof7JL88xkEBJMKyK9Q",10,4.8,1,0,1,"M"
"9CR8K5G0_Gvf-e0dC5nMvQ",3,2.67,5,1,2,"M"
"9cUk312bwyHr4EsZBOEuug",1,5,4,0,2,"F"
"9d-FbeBrMtkJEGQ8EHtX4A",2,3,2,2,0,"M"
"9D-RAOVRTnALk-GFvhbJcw",23,3.22,29,10,20,"M"
"9d0fZW270m6ud-LO-xdKVQ",1,1,2,0,0,"F"
"9d81efoz-TpGXmTRmbV_pA",65,3.97,21,10,15,"M"
"9d9jRB3j2AU7KnZ4yMmwHw",8,3.75,3,0,0,"M"
"9db0Yv3gT2xmkAhL53WFqA",3,2,3,5,0,"M"
"9DcsYW3yyAC98HgyKEKKig",2,3,0,1,0,"F"
"9DdDicv_0fXl60LIxmWSDw",1,5,1,1,1,"M"
"9DDxi41G0UepZdgBVVSMZQ",2,3.5,2,0,0,"M"
"9Dgsf3_BkoGjkvreVuwreQ",5,4.75,1,0,0,"F"
"9dk8ehoNV5tnuMfS8IefEQ",12,4.83,16,3,3,"F"
"9Dks5wGHKa8fHXQaZ9Xh5Q",2,4,3,1,3,"M"
"9dlD0j4qbY37IZu9Nl-_HA",2,3,1,1,0,"M"
"9dMLYid-27d4TI_AkHanMA",1,1,1,0,0,"F"
"9dNMy433SjAN9YNRzetjhA",14,3.36,36,8,16,"F"
"9Dp3fBOEQvZpYALtQ9C8HA",7,3.43,5,2,2,"F"
"9DsjEVQ_YSj8bXx9fAgNcA",136,4.14,91,32,34,"F"
"9Dw9rhqDdihNHH9JuOvUqQ",1,4,3,0,2,"M"
"9dWh8z4fHv8YsxfABWqEmw",9,4.67,5,2,1,"M"
"9dwOAQalJR8pmX-YSG8eMg",45,3.16,39,14,12,"F"
"9dxLtbYf7md6GgodiHN3bw",5,4.6,0,0,0,"M"
"9DzFV1OvNVabqEPnsi9EEg",61,4.02,23,14,10,"F"
"9e4WMoGUGQBAsHb1a8UQbQ",49,3.37,45,18,13,"F"
"9E86veFPRlHLOlAUGGSymg",3,4.33,3,1,0,"F"
"9e9LSaguL3bhEYktZN6TNA",4,2.75,3,1,1,"M"
"9ebaAGLVIgGKpDLFwmvaiQ",93,3.51,76,24,29,"F"
"9EcDTdTZ7rCI81LgmGInKA",2,4.5,1,0,0,"F"
"9eeqmxfVfAT4oyA4y2WcNg",64,4.25,80,6,19,"F"
"9EeQNwobM-OWGlsYb8v3wA",2,3.5,20,6,4,"M"
"9eeYnUj_x0bYaGm0880bKg",3,2.33,1,1,1,"M"
"9Egprvw3f9UmfEGW5azU3Q",6,4,6,1,3,"M"
"9eGZVyKKa3FTTkea-9sxtw",2,5,2,0,0,"M"
"9ElhYTROAJy7lUQ-ZtPQmw",3,3,0,1,1,"M"
"9ellV9VrEOPA3vX2pZptSA",34,4.39,55,35,38,"M"
"9emoF-Z0aWrn-TaTitADuA",13,4.17,6,0,0,"F"
"9epg0IWtKhcdM_nfbKBsMA",6,4.67,2,1,2,"F"
"9era1KWh_wb0PqTQTRvOdw",1,5,0,0,0,"F"
"9etvFm51AUhOzXzbTeVmXQ",7,4.43,20,13,8,"F"
"9EVx_OlZwFmen6KmHHIGpQ",4,4,0,0,0,"F"
"9EWRL5g1FwSYqUydQgiJ_Q",3,1,2,2,2,"M"
"9ExqqAOtRIvAsOBdKuAqCA",3,4,2,0,1,"F"
"9eY0M7voV1g_cm4ddI4OCw",143,4.05,226,133,164,"M"
"9eZZY_Yw1ckLa770RJ_mcQ",2,4,0,0,1,"M"
"9F_1dFc-DUUMq-__LIahcg",1,1,0,0,0,"M"
"9F_7k8s0mAJ_h1ky7d5Tfw",2,3.5,2,0,1,"F"
"9F2MRH6paoE1fYBeYNNCBA",2,4,1,0,0,"F"
"9F3ZmyGKIA6ALNWgEq3Log",48,3.35,51,20,11,"M"
"9f7i43dKTwe-fbf4pkZ5ww",1,2,3,0,0,"M"
"9F9O1ewWziu0IBxL-O0pNg",1,5,2,0,1,"M"
"9FAvwDeNwoyOx9WNEiqABg",8,4.14,12,2,4,"F"
"9FAzW4w1M3VBBR1e-6xbmg",52,2.98,18,9,6,"M"
"9FB4JTFD1rIaVQSi-MMUSg",1,5,1,0,0,"F"
"9FbgqZ5u9WTLAs28nNafIQ",207,3.82,314,68,181,"F"
"9fdcXkwACX9C-ClCDGeK-g",39,3.18,36,6,5,"M"
"9fDWwLefoRH9-hUtdugVfw",55,4.05,98,30,56,"F"
"9FgE70NHPgzf_c2TLpE6Zw",32,4.57,6,3,4,"M"
"9fGjFP3pAmSH87433Pd8yA",1,1,1,1,1,"M"
"9FLNmnI7dy53rlA6NH-0PQ",3,4,3,0,1,"F"
"9fnXHJFZ3b7tKMO7kbvpXQ",3,3.33,1,0,1,"M"
"9Fs1gNFyA9DxEKoFvUS30g",29,3.1,31,17,8,"M"
"9fTTesCwn9EO-d82ODJAnw",723,4.1,2737,1906,2089,"M"
"9FuqYRh18aKYb_PbnuKSFA",23,4.3,48,14,18,"M"
"9fV9BJKauqGtiNFZZEXOzQ",1,5,0,0,0,"M"
"9fvYmAdkqXw-HC521SW6Yg",89,3.73,204,43,91,"F"
"9g_ARKx0eJmNH8oO1TR9rQ",28,3.59,12,3,1,"M"
"9g1wpuviHPQjqfy6X9UR_w",6,3.4,2,0,1,"F"
"9g3qYzbtsFBKE9308LpDOg",23,3.96,53,19,11,"M"
"9G4EeQl8qYhGlFtsA0H1Ig",2,1.5,1,0,1,"M"
"9g55g1EYVbdwUUF80MVTIA",9,4.12,8,5,4,"M"
"9g5q367FxbZCEMoa1TkXQw",4,4.5,0,0,0,"M"
"9g6N8Hq0nIjaHQHgN90Z_A",1,1,1,0,0,"M"
"9Gha3-XxARRbhCLE8KuN2A",14,4.31,5,1,1,"M"
"9GHSDxMZMQ_nbnI2xS4AjA",1,5,2,0,1,"M"
"9GjQ6W7ubI4wK6ELSOiXcw",10,4.9,3,0,3,"F"
"9gK9KtgqJawfctRIoWWErw",5,4.67,8,0,2,"F"
"9gKoIZQ4Do9-hszvCQC_JA",34,3.65,21,7,10,"M"
"9GlPdCzNp8WsAyiOxmf2Qg",54,3.83,38,3,4,"F"
"9gN0Hdr8LqMCuEfgk8MLyw",5,4.4,0,0,0,"F"
"9gOqdcFWVducm7vXPrdqrA",5,1.4,9,1,4,"F"
"9gRrLEtk_HVlyaw9PNSP1A",4,5,2,1,0,"F"
"9gTSzE41MSfvKHLPGJwNFw",3,4.67,0,0,0,"M"
"9Gucz-rh3r50wZ6Ww3Z-lg",7,4.43,2,0,0,"F"
"9guDqgAz5IRYYXa0ByTVEQ",16,4.69,12,4,6,"F"
"9GVX_SjI8hBjQqKAhkV_zw",1,2,0,0,0,"M"
"9GX38BiWWsQqJmvy575o5Q",3,5,0,0,0,"F"
"9GY7UYYCluJTvcQ8Zu4yQQ",4,3.67,2,1,0,"F"
"9H-8lrXLJoIPkwIUgIW5fg",3,3.33,9,3,0,"M"
"9H-Xsn5sHtYU-4cA8bj7uQ",522,4.2,759,468,402,"M"
"9h1bJKtZUVF9TeeuzQRbYA",13,4.08,19,4,1,"M"
"9h43wc62EfZTSLckaVzabQ",3,4.67,5,0,1,"M"
"9h54-TfZ53Ag7d9duGrGtA",1413,3.37,1036,428,640,"M"
"9H7ZVn9IHjMUC7hQXguxOQ",1,2,1,0,0,"M"
"9HaMN44RHfHlk_imjronDg",4,3.25,0,1,0,"M"
"9hBO-8GqOWFfiNT0fxV-7A",4,4,16,11,11,"F"
"9hCMcrhNykdVh0ZOJJoVVA",699,3.86,8745,7349,8011,"M"
"9hcMkuGEHHFN8pOWt79dMA",7,4.17,6,4,4,"M"
"9HhgYzlfC1OVBJRP_xoEvw",2,3,1,0,0,"F"
"9HHUNmBFHkh_N-dNAHGo5Q",1,1,3,0,0,"F"
"9HhwtAe8mOQiI8_hXQhtXA",3,4.33,0,3,0,"F"
"9HIRGw-eCJ0RGoGEFTvZfQ",1,1,0,0,0,"F"
"9HKFaA8R_SbTnO3_J7Zauw",4,4.33,0,0,0,"M"
"9HlTgd6F6NOiJuMfKnW4SA",4,4,1,0,0,"M"
"9ho95VusXbWjz2areWkY8g",8,3.12,12,2,4,"F"
"9HRcINwsWitz8RGUsiW0EQ",1,5,0,0,0,"F"
"9hsjvBMXy-Wt5acctnoEUw",9,4.11,5,0,1,"F"
"9hT4uQ0evN19GBNEK9KcFQ",8,4.25,6,2,2,"F"
"9HtNyGDCC4O7NRPKdmRarA",12,3.92,0,0,0,"F"
"9hV2Tf54ZFPcllBI-dwM_A",13,4.33,19,5,6,"M"
"9hW1QaZMHRQY5iiwiuNpUw",5,3.4,11,0,1,"F"
"9Hxb6wjAJbwCmWRm12jbKA",5,4.2,6,1,2,"M"
"9HY5jypR0uxjyuNP7gk4GQ",14,2.93,11,3,3,"F"
"9HytwF9I6Pa5Jju497GNhg",21,3.9,10,0,2,"F"
"9i02xIe7db6MV1OdJpjQcQ",10,3.5,5,0,0,"M"
"9iAHI89dHgU0pl-HEaBA2w",10,3.4,10,2,2,"F"
"9IAMTjvhfHMoCqggUic5xA",26,3,17,3,2,"M"
"9IaYDnmE4oqm39dfHJzEug",200,3.37,223,104,107,"F"
"9ic_n1leNR6n4yjYmzXEkw",232,4.06,120,62,82,"M"
"9IDcR7jQ_GdK7RBen2vJnA",2,1,5,1,0,"F"
"9IEiWJHFZwCWrxFI_DMgnQ",14,3.79,18,2,1,"M"
"9igZJAQev5mnNPtn2yHPsg",17,3.12,17,0,2,"F"
"9IhBCwwJm6muTbmLFA_KPQ",20,4,12,5,1,"F"
"9Ij9o-nfCZR3Y2XE5GpqMA",7,4.29,10,0,0,"M"
"9iK_an2jNnbaH1GCzPQKUA",20,4.05,11,1,1,"M"
"9IKE3JVdWasnvYkjclqXYw",14,4.29,15,5,6,"M"
"9iKIunJzpTRTB2s4QEIrKw",159,3.26,134,76,35,"F"
"9Ili6jOVHH_4oAEKxlbRlA",8,3.57,10,3,2,"F"
"9iMpqkp1S1F_MbcA8LkR5w",2,3,0,1,0,"F"
"9iMuhbeVUXmHDX2HhdlckA",1,1,4,5,1,"F"
"9iNwqB9yXwFkf8kYzxUEfw",1,5,6,0,0,"M"
"9IoWmskJG2sz7hEFAfqV3g",22,2.86,27,7,6,"M"
"9Ipo5v7WK4DDTdUfN9JnGQ",159,3.68,205,65,95,"M"
"9IsbfkHrNrEynqYt7BUfYQ",2,1,1,0,0,"F"
"9iSPdf9MGAzDAstPgqzdYg",14,4.36,6,0,0,"M"
"9iXu9IhoRpX22q3Z2P6CTw",4,3.25,3,0,2,"F"
"9IZ4Q_BdXwlVPAwf1EkZFA",2,4.5,0,0,0,"M"
"9J21JEtHPNkXi0mJBCt5kA",13,4,12,2,3,"F"
"9J2qULE0Fn56Wy1yK--frA",12,4.08,22,0,7,"F"
"9J3fJyCvTHJtOkrqMgTrAg",3,5,5,3,5,"M"
"9J3xtamewwWQhQ0tkjRoRw",1,5,2,0,0,"F"
"9j5yrWj3t8xanBSFiOqb3g",5,5,0,1,0,"F"
"9J7fLfEB7B36P43HtolITA",3,4.5,1,0,1,"F"
"9J9t3vTv6xhMEgwKzKJIWg",1,2,0,0,0,"F"
"9jAGh1-u0eyguTQncljuhQ",1,4,0,0,0,"F"
"9jBAPOexchgGDwVBI0x7GA",2,3,0,0,0,"M"
"9jC35p2K54Kfm2CqWKYAzQ",2,4.5,0,0,0,"F"
"9JcWUImFT29_QrBO8mlcdA",2,5,3,1,2,"M"
"9Ji_zIR62hZ_saPeAcJZ5Q",2,3.5,1,0,0,"F"
"9JKuE7C9JMPY2KJum6hbbw",8,3.75,7,1,0,"F"
"9jLgxE6Bltubt7Ri4jTC9A",122,3.61,257,125,172,"M"
"9JlPnUQiaqUX-cOwvpNagQ",2,5,0,0,0,"M"
"9jNo5zFLhdR57uFh1y-4kw",5,4.2,4,3,3,"F"
"9JpnM-xebt0343KkGR_HKQ",81,3.86,54,134,55,"F"
"9jpNSjHDWCU6yliX213nAg",6,4,3,0,0,"M"
"9JR1jGKMkK2IzFEo_3i-jA",9,3,2,0,1,"F"
"9jsOZg164NB0rc73ut2FIQ",3,5,5,0,1,"M"
"9Ju7Q6ligUMJfp2TupYOCw",1,5,0,0,0,"F"
"9jUs-okApB-BYUspnetcrw",44,3.82,37,4,9,"M"
"9jUZNC6W1C79nK2HCgIXGA",28,3.57,27,9,7,"F"
"9JxrBmnaq4BDeGcenbuKAg",11,4.27,4,0,0,"M"
"9JXw_lyO67YQUhxp6mIKvQ",11,4.2,4,3,0,"M"
"9JyHaurbbvFECEOJ9Ni3rA",43,3.4,39,42,26,"F"
"9Jyre_rjyOn9fmlUopzvQg",5,4.2,4,1,3,"F"
"9JZvPKh9MmyOCsqnrbytFw",4,3.75,1,0,0,"M"
"9k3ByS0R3dBhVBhWeSk_5A",2,4,1,0,1,"M"
"9kDTgCBNllmp3IGy7wrrDQ",5,3.4,2,1,1,"M"
"9kDxpas4zplna4h3UoIyEg",136,4.07,193,34,76,"M"
"9kGOMnmSAXZHyNeRKydmzA",3,3,1,0,0,"F"
"9kjF3nPGGTzAUvdGxepRKA",3,4.67,3,1,0,"F"
"9KNhEex2ShNi6DqWtJFVTA",25,3.8,39,23,17,"F"
"9KoKetohaOL0Xi_xPHN5HA",2,4.5,0,0,0,"M"
"9kONxaUjl1Mjfj48U4nSXA",10,3.8,10,2,2,"F"
"9kOzl_RZ2vuM9I9s1aCoXg",5,3,4,1,1,"M"
"9KQK4uLo6JER1YxXNJKKRw",28,3.79,30,19,29,"M"
"9KrYr3YKvRZbMlYDg0daAQ",1,5,1,1,0,"F"
"9KSVRGpM2fvplUiQ09AFcA",2,1,6,0,0,"M"
"9KuPnXn4y7bybMjgQjSklw",18,3.47,23,4,5,"M"
"9kXVOK3vl17j0SC-Q5LKzw",1,4,0,0,0,"F"
"9LaaM8iHLKo1KvsV_8TRYQ",12,3.75,9,4,3,"M"
"9LbdFOKAtGOTgZ6BTpnFIA",32,3.72,22,11,10,"M"
"9lcNtRp1A3fgywd0hzLeVg",2,4.5,0,0,0,"M"
"9LculqQTjfYLmOz8etyBmg",2,3,8,5,2,"F"
"9ld6OLfv0lA8AhP2tYbprg",7,3.8,5,2,2,"F"
"9LDYNmJZP7b4aYvUfCnEJA",3,4.33,4,2,3,"M"
"9lJAj_2zCvP2jcEiRjF9oA",3,5,6,0,3,"M"
"9lm2VS_85BsM8Oj0Sn9cOg",2,4,3,4,2,"F"
"9lmDaFgmLq3xNTEQtvqmsg",4,4.67,1,0,0,"F"
"9lO0GWP1AVx3YLQNsrdy7Q",18,3.94,9,1,4,"M"
"9lrkwj8XpaKmMiAwdhmg9Q",3,4.67,1,1,1,"M"
"9lrolOJ8DZ3ZOXvUt9KNBw",1,2,2,0,0,"M"
"9Ls-onuzMcA8kZLfefy6cA",2,5,1,0,0,"F"
"9LshXzm2dbujaqqnCRr_DQ",4,5,1,0,1,"F"
"9LsuckL8ydgjI-1vN8ioyQ",224,3.61,224,126,114,"F"
"9LtG0GXxfImwVAYwAgXm1Q",34,3.5,30,12,10,"M"
"9LuAMTBoztDor8P1rC2WBg",5,4,1,1,1,"F"
"9LukJX-laIeHnFwo8P5A2w",1,5,2,0,1,"M"
"9luyCUwVjHZwvC9nUmP5pA",78,3.83,25,2,7,"M"
"9LVYioS3Om_cCWcr03mbdA",57,4.29,43,29,21,"F"
"9LWb6Q3StPD38VCTlbn-EA",31,4.32,33,13,13,"F"
"9LwfEPe9lP7jhD_zsbyR9Q",2,4,1,0,0,"M"
"9LXItvBRJdlcXSaiEPyM8w",2,3,1,0,0,"F"
"9lzh0KYprASRUcJwBFS9pw",4,2.25,5,0,0,"M"
"9LZP7Ll7N9zkuWfA5DUAYw",420,3.79,1969,1553,1682,"F"
"9m2wQ0vU_nijlh09v4jgNQ",725,3.82,2404,1205,1504,"M"
"9m3wcOhe8nVnlOa_in-OxA",4,3.25,7,2,2,"F"
"9M4uzVkmSsL5hZmTLhEGIA",27,3.41,31,6,4,"F"
"9M5EIzohoSndaiFkLz9bug",6,4.4,3,0,2,"F"
"9m7pitxpEEf6XPNKiiJirw",20,3.55,21,7,4,"F"
"9MaQPBj09xiZxQ_Mm5mhLg",18,3.94,3,0,2,"F"
"9mdPH6b40G0V_39mtBtgSg",3,5,0,0,0,"F"
"9mf3KnoyEtWPEGUI2Refpg",13,3.69,18,3,4,"M"
"9MJAacmjxtctbI3xncsK5Q",82,3.76,92,20,19,"F"
"9MJG5JPOw50kkN2ln5DB3A",1,5,0,0,0,"F"
"9mjItdXixKECanLV6RBIrw",94,3.62,280,170,168,"M"
"9mKzJ0_mBtxFJbybX7rgtw",9,3.88,4,1,3,"F"
"9mNlD64jqX7VjignlT9Efg",30,3.07,11,2,0,"M"
"9mNOQBeTl5CrkYceJql_rA",175,3.94,247,48,97,"M"
"9MpA0k49TlAmntxj1p3feA",11,3.82,1,0,0,"M"
"9MQeZAtexE3WikfLOLMp0A",2,4,1,0,1,"F"
"9muWSpSy5L5I3dweuuioAA",6,1.5,14,0,1,"M"
"9MV_dotvvcE2tq52ci0HRw",1,5,0,0,0,"M"
"9mvVeiYzjW_VQjugtVchNQ",2,5,2,0,1,"F"
"9n3Nox3exOhSoeAY7hXwig",2,4.5,2,0,1,"F"
"9N5QzLGcphYTAEnpaVoftg",2,1,2,4,0,"M"
"9N6rorbBEIda6WUAHGGyhQ",3,5,8,3,2,"M"
"9N7Ok6AGYpjedcmNW7mQ0Q",11,4,31,3,13,"F"
"9N9s6oKukV6dtiMLqb2ohQ",10,4.11,2,0,0,"M"
"9naiHrcKCUe_YFXyStyL6g",7,4,6,2,5,"M"
"9nAxYR4vNIbYOViIjVRxjw",7,1.29,17,22,4,"M"
"9nAZ1Gx52-XU7GWuJC-VgA",29,3.76,13,7,5,"M"
"9NB7MaobkPKy9D3vZSQ0-Q",9,4.11,5,1,2,"M"
"9NFCtdbq9o9L1mqOFoOcSA",2,1,9,2,2,"F"
"9Ng_7NyV01iyrriwmPJIEg",6,2.6,14,2,0,"F"
"9Ngl0uHmYSYXauBb8m9VcQ",27,3.78,15,4,3,"M"
"9NH_5mOIx5P4VGhxjbGceg",1,1,1,0,0,"M"
"9Nh6ae0UgBAMTwvfkuVqVA",4,1.5,9,5,1,"F"
"9nhMdE3qv1GHKyAfBx5bJA",1,5,3,0,1,"F"
"9NM3_sMp6c915mOY_bvHXQ",54,3.91,23,6,14,"F"
"9nNUnNQwXbAmEY-p0Bm1JA",7,3.67,8,1,1,"M"
"9nO7lVmLTIyIpaMSfgW7gw",4,4.33,3,0,0,"F"
"9NQaHuHKvSiyxRiNyqnZgQ",21,4.19,49,6,34,"F"
"9NQLMkG_f2hbgUIXKWP2OQ",13,3.92,11,5,10,"F"
"9nsagwu1NPpg099IbLWmSQ",5,2.6,98,6,13,"M"
"9nviCG-MmCwHgZ6woGlKaQ",2,5,0,0,0,"F"
"9Nw3DRHXVc68XfcKp6_-2A",1,1,1,0,1,"F"
"9NyCrQI8gvY73gz7hSNY8g",22,4,9,6,4,"M"
"9o6JPWc1zFqMHvS0ny46rQ",2,4,3,0,0,"M"
"9OaktpNU_fKnsjXEzqgg0w",9,3.67,17,2,4,"M"
"9oanrcKFZPDGLbpyUIfefA",154,3.75,353,184,217,"F"
"9OE0kLMvCHFaBYogD9wcYw",9,4.88,4,0,1,"M"
"9oEpUQ2GbjJukhA-MVeCRw",6,1.8,11,0,1,"F"
"9OF5cXkSmzj0462PeJmZUw",10,3.9,4,2,1,"M"
"9oFdeuU5sHw4849aRMy5ng",4,4.25,5,2,3,"F"
"9OHBjpFO9TDZXco6yG7QBQ",7,5,3,0,0,"F"
"9OiOuOhxnXZ3zcqFaIZiOg",15,4.27,3,2,2,"M"
"9ojTY6akKarpt1t0YeFJXg",6,4.17,6,1,0,"M"
"9ojXl2cwWhK2U92Kbc0qzw",1,5,0,0,0,"M"
"9Oku7h7bFdFnHFlPOeKXtA",29,3.5,15,3,1,"M"
"9OpjxLRhiV9YImoMVHlxLQ",7,4,3,2,3,"M"
"9opUuMnzJEoGg6uvusiN9g",1,3,0,0,0,"M"
"9orieVsntdlQZe1yor0I5A",7,4.43,8,0,1,"F"
"9OsD0gC4-jDkXeDHhexHGw",10,3.9,13,0,1,"F"
"9oSiU2b45v5HwkkvgrXYBg",11,2.44,12,5,6,"M"
"9OuPG16NWOEan7UbyljE6A",3,4.67,6,2,2,"M"
"9p-Up0aAADjvB-jZLqQegA",1,2,0,0,0,"M"
"9P0dgVveGa7bEmTo5QK7ew",2,4,0,0,0,"M"
"9p4Oo7MXHr7gUCaQbSRIEQ",1,1,3,2,2,"M"
"9p6KdYEYqoEXCGcD1T7t_g",12,3.75,5,1,1,"M"
"9P7TTQzzarDsRenZKgOpzg",110,3.87,80,18,35,"M"
"9P7YOcGI8meoFTgNhit81A",13,4.15,8,4,4,"M"
"9P8GiI48ikRCsRysTsbYBw",7,3.83,3,0,1,"M"
"9PEcOBO-doJczRrKlnAVMA",4,4,4,2,0,"F"
"9PfSc232nuzBV2qfV3F6BA",16,3.94,9,0,2,"F"
"9PgN8QuQ6jhuLV6RfdLwdw",17,3.8,13,0,1,"F"
"9PiM3lRzswoAe3qV6wtqJg",11,4.5,4,3,2,"M"
"9PLcEKnYehKoVxmjsx3Hjw",3,5,3,2,0,"M"
"9plRbLWIJLt3Ku4p8qJ7SQ",2,4,4,0,0,"M"
"9PlUziikbTAOAPovWKrtRg",1,5,0,0,0,"M"
"9pLy20Gt_NTft5sG0CR8mA",1,1,0,0,0,"F"
"9PmD9FdQ0bWflFMTr9DAMQ",9,3.33,16,3,5,"M"
"9PmtkNykvhKOmTbBjk3yPw",64,4.27,58,29,20,"M"
"9pn3fWdbLLQpDXHUv5gU0A",13,3.92,0,0,0,"M"
"9PnyPPgAF-DV3769pPljXg",29,4.28,18,11,12,"M"
"9Po7yCfKvRHEOkC92JrSIA",7,3.86,14,5,2,"F"
"9poHUc1FWnhlDahdPMC1Qw",3,4,1,1,0,"F"
"9psg7Mwm68ojID5de7UDtg",15,3.67,8,1,5,"F"
"9pW26TfIHW2GV1zxCfvT-g",85,3.36,15,6,8,"M"
"9px_0geJ2JdrWKNRmrFSkQ",12,3.92,10,0,0,"F"
"9pYhwoXbWJbeMRRFY-kstA",34,3.94,39,8,10,"M"
"9q0cPlHAM_3l6s1kle73xQ",3,5,2,1,2,"F"
"9q5Vb5jD6y1IZshaECvEDA",2,2.5,4,4,2,"F"
"9Q9ZUE_ItjIqQR8hbTFGDg",15,3.53,13,5,6,"M"
"9qB4q1s6c5AEoperHdNLxw",238,4.3,313,45,125,"M"
"9qbNt1lvi7ZvXkHOgFguMA",6,4,4,0,3,"F"
"9qCPmT6ovJjxL4tJB4ANCg",217,3.73,244,48,85,"M"
"9QdsNtL2NpnCk9SjLewdBQ",3,5,2,0,2,"M"
"9qdT6h1j-fviKqWKn0qkww",14,3.71,12,0,5,"F"
"9QdvI8zZZ8FpxqRQQOVijw",2,5,2,0,1,"F"
"9qFnF4fojHe-8F2m3wdi_A",4,4.5,2,0,0,"F"
"9QfOrPqJ0m1L1ozfY7mVbQ",5,4.75,2,0,0,"M"
"9QHi0ofDnhObYO_0eWqaWQ",59,3.63,49,17,16,"F"
"9qHt41AdpsA3FdfjA55LyQ",1,2,2,0,0,"F"
"9QJ1XfS6ens106WI-PNBYw",11,3.9,5,0,2,"M"
"9QJJ7YBacqcpzNE3Yo9n5A",31,4.16,71,19,67,"F"
"9QKLP4w8DBktVfC28HAgxg",4,3.25,8,1,4,"F"
"9QkUkAoL5l2TsqtpEUx1MA",2,4,2,3,0,"F"
"9qLwPqr46CQOwPdDf24YtA",10,3,13,0,2,"F"
"9QnSv_ORlutCyOORsJC8qA",47,3.26,58,17,19,"M"
"9qp7HBzHeEdW8IvKSx9kIQ",15,4.15,20,1,6,"F"
"9qseSq38-peqmesjPee85Q",3,3,2,0,0,"M"
"9QSI33wlJGBQByolpsNOqA",4,4,4,1,0,"F"
"9qWBIvYhtZtTN3BJMeBf2w",2,3,3,0,2,"M"
"9QXjwdxQXhrXuGu842gojQ",1,5,0,0,0,"M"
"9R5KOoQBLJxjBqcqiq71tg",2,5,0,0,0,"M"
"9rCbgSsk4DZ-14bQ0MnUuA",1,4,1,1,1,"M"
"9rf-k4eDxmEu6EjmmNxSDg",1,1,0,0,0,"M"
"9RfQ2pVYnVSSJgqxLymvqw",12,4.42,11,5,5,"M"
"9rhnVDTnv2SEQElpqnoUuQ",72,4.07,141,106,129,"F"
"9Ri2GGLjS0DPmQ82dAvbeA",7,3.57,3,0,0,"M"
"9RlgBHo37w8wg9O8jwo-hw",1,5,0,0,0,"M"
"9RnATpzQh4W4ouNZoCV9Hg",753,3.76,977,470,647,"M"
"9RNKli8K96DOJ2gpRO-Phg",10,4.33,9,0,1,"F"
"9rOV78Dfdaoz7mZMA-HaHw",2,4,3,0,0,"F"
"9RPhpa897l8ptzeQFAQiUQ",8,4.62,4,2,0,"M"
"9rqTAkDNsb0N-265_RbhsA",1,1,0,0,0,"F"
"9RrKdkvP86z-QZ-JV5Llrg",3,3.67,5,0,1,"M"
"9rswgglBrW0oO8r_GOGhJw",19,4.05,12,5,6,"M"
"9RTT1UqF57rIV6GOvJsZfA",17,3.29,20,9,6,"M"
"9ru6Cqv9f0XYo0jSBFgBuA",4,2.25,22,5,3,"M"
"9RVEO8w8GAyAMuAUcLtOzQ",218,3.84,123,42,44,"F"
"9RWe1PGYurwpjvHMyvvsRA",2,5,2,0,0,"M"
"9ryWdjTHVqqAoETSazV3sQ",73,3.43,54,6,8,"M"
"9rZ1DWzXRH3RcLoCj5U6_Q",7,4.57,18,1,15,"F"
"9rZELCGmXJfFveRM9wUN3g",11,3.73,20,5,1,"M"
"9SdJ46ElEppey-MN93GgtA",2,5,1,0,0,"F"
"9sdWcvl0Y8-C8LedMsiaxQ",53,3.98,63,25,29,"F"
"9sEISMwGHlbC6LaddU903Q",2,4,1,1,1,"M"
"9SfVx3GwUfvryUwEiCPuDw",5,4,2,0,0,"F"
"9sGrslfna8k-cyTR5NLYww",5,3.8,5,0,1,"F"
"9sHDVqIHPfVAJIehwg7yXA",1,5,1,0,0,"F"
"9sHPMcbjaaKX1MufCn_vew",8,4.25,6,3,4,"F"
"9si2TYxoP9Ifpeu1rSQNuw",13,4.23,6,0,2,"M"
"9sm5UUXqZ8JC91RhjkvCuQ",10,4,59,27,8,"M"
"9SmJAlPYZkcvi3jdwYoBbQ",7,4,9,0,2,"M"
"9SmUBwtiLdI_4LcQoBdZkg",16,4.13,20,6,5,"F"
"9SMueCRWOWvchrPJtbXZbQ",3,2.5,1,0,0,"F"
"9sMWMabRXIKV3KFJUwSb_w",83,3.51,103,24,37,"F"
"9SNBsRcyCBEw9-6QA_0ibA",3,3.67,1,0,0,"M"
"9sNNkO6sojotXUnaikslhg",10,4.1,15,2,5,"F"
"9sPFuYRp0YhWws8eV03JLw",3,2.33,1,1,1,"F"
