"businessid","cat109","cat363","cat361","cat366","cat344","cat33","city","cat501","cat444","cat404","cat259","cat246","cat79","open","cat221","cat314","cat104","state","latitude","longitude","bstars","breviewcnt","wday1","wday2","wday3","wday4","wday5","wend1","wend2","wend3","wend4","wend5"
"cnLnPDP2NZh9KKTFFlaWSQ","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4652378,-112.2452474,4,7,0,1,1,1,0,0,0,1,0,0
"CNOfqLhoty3QdKGgIErWtQ","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.492761,-111.922982,4,5,0,1,2,4,3,0,0,0,1,1
"cnoqbQYPhG_5M6zX5dnVyQ","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.382744,-112.03444,4.5,6,0,7,4,3,4,0,3,2,2,1
"CNS4j16dzLWDPEV-UM9SLg","t","f","f","f","t","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4340826379293,-111.994414329529,1.5,4,0,5,3,2,2,0,3,0,1,0
"CNvPqN9pa5aJRn-Npcqgdg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5252672,-112.0995348,3.5,64,0,2,12,7,15,0,0,5,2,4
"Co-sJv4GNxILkF79ZMLq-Q","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6556844,-111.9300279,1.5,3,3,2,7,7,3,0,1,4,2,1
"co8rv2zfOhMXc_TlEI9VrA","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.5092556,-112.0378823,4.5,76,0,1,14,10,19,0,1,6,5,5
"CO8UjN6WXsDJqo5qJx8nFA","t","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.42183,-111.960264,3.5,28,0,1,10,5,2,0,1,3,1,0
"COc06ScpJTN15NXMf4gkqA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","t","f","f","AZ",33.510188,-112.081699,4,10,0,3,5,2,1,0,1,1,2,0
"cOcVUkT1nYdbliO8Vx5iaA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.8547357595707,-112.270660400391,4,4,1,6,7,6,4,0,1,6,3,2
"cof7qW-PD0M7Jykclg48oQ","t","f","f","f","f","f","Scottsdale","f","f","f","t","f","f","f","f","f","f","AZ",33.4916179,-111.9258402,3.5,6,4,4,4,4,4,4,4,4,4,4
"corPOxxIBRJ7DSpryYvorw","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.683479,-111.966112,4,106,1,1,4,13,21,0,3,4,4,8
"Cota2ttLUjoKhFU6ukYqSA","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.413158,-111.875779,3.5,61,0,1,13,8,13,1,0,6,5,5
"cOUS79i4vltKIc_hy4OZBg","t","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.455036,-112.038676,4,67,0,4,18,11,4,0,5,7,4,2
"coXomDOValXzks6BwMHG1A","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.4745289,-112.064845,4,40,0,2,6,10,13,0,0,3,2,4
"cp39VURFby4A6u9m2It8jg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5095354,-112.0275918,3.5,305,0,8,20,15,21,0,2,8,6,7
"Cp5_NSJFNgylD5SUdmT8nQ","f","f","f","f","f","f","Mesa","f","f","f","f","t","t","t","f","f","f","AZ",33.3786447,-111.8912399,4,48,3,8,8,8,20,0,3,4,0,5
"Cp6JGY5YIRncTV_My9nf9g","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4576266,-112.0474748,4.5,84,0,2,16,10,11,0,0,6,4,3
"CPaFYTecafyEqrmmI34ZBw","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5980404,-111.9790497,3.5,5,0,1,12,5,2,0,1,2,2,1
"CpfGjyBi2MXgC-c5X7hSdA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5542363,-112.09865,2.5,7,0,2,5,2,11,0,2,0,4,5
"cpFmdYXLAFm0vDwqxO7LTA","f","f","f","f","f","f","Tempe","f","f","f","t","f","f","t","f","f","f","AZ",33.335548,-111.907832,4.5,11,2,6,7,13,13,2,1,2,3,3
"cpfqZ_968LCuIyHJ3X46NQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.494229,-112.173696,3,7,0,1,2,1,2,0,0,2,0,1
"cPIi_5tWZw04DmtyUBcFlg","t","f","f","f","f","f","Mesa","t","f","f","f","t","t","f","f","f","f","AZ",33.385489,-111.686036,2.5,12,0,1,7,6,9,0,1,4,2,1
"Cpj08vi9JkBE1pRvZzuxjA","f","t","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3897438,-111.736418,2.5,3,4,4,4,4,4,4,4,4,4,4
"CPjEow8UPIg1GfDrzmwpYw","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.614283,-111.909204,5,4,4,4,4,4,4,4,4,4,4,4
"cpjNtM6Hzs3YjTBFEFcL-Q","t","f","f","f","f","f","Scottsdale","f","f","f","f","t","t","f","f","f","f","AZ",33.49447,-111.924226,2.5,43,4,4,4,4,4,4,4,4,4,4
"cpkqVfrti-kng8782XbwuA","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.3358982,-111.7571233,3.5,4,0,0,7,2,2,0,0,1,2,3
"cPmbPQepAatet3QMUZaSeg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5386433,-112.1145297,4,23,1,7,10,6,9,1,2,6,4,2
"CpRO_EC8sbn93UE8Jx7zDw","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.452255,-112.089384,2.5,3,4,4,4,4,4,4,4,4,4,4
"CpYBCG_UAlyRpTFyMZe0zQ","f","f","f","f","f","f","Scottsdale","f","f","t","f","f","f","t","f","f","f","AZ",33.4956673,-111.9330396,5,9,4,4,4,4,4,4,4,4,4,4
"CPZQjiHBEh_4PonvdFO1Hw","f","f","f","f","f","f","Goodyear","f","f","f","f","f","f","t","f","f","f","AZ",33.4870502,-112.3645817,4,4,0,2,3,6,1,0,0,4,1,2
"Cq_0pF5g0AYCpC4JyqHEFQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.494413,-112.065401,3.5,4,0,0,7,0,2,0,0,1,0,0
"cq99ZjMyGw-WVje7aylu_Q","f","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.306097,-111.888162,3.5,6,0,2,4,6,1,1,0,1,2,0
"CqDw9GGerdbcoBUP5RVmtg","f","f","f","t","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.3368442,-111.8188219,2,4,4,4,4,4,4,4,4,4,4,4
"CQDxI8giIc6Kg9hQFLC6Uw","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.306349,-111.891192,3.5,25,0,5,17,4,8,0,1,5,2,5
"CQHKoO91ivQJ9hFDCFdSSw","t","f","f","f","t","f","Mesa","t","f","f","f","t","t","f","f","f","f","AZ",33.4157354,-111.6995595,3.5,5,0,1,6,8,4,0,2,3,3,4
"CqhsIZ7TzCfJTrZqg5-gqQ","t","f","f","f","t","f","Phoenix","t","f","f","f","t","t","t","f","f","f","AZ",33.5093736,-112.0409502,4,102,6,5,18,14,28,3,2,5,6,9
"cqIHyZ3Q0D4vBi-vb4mi-g","f","f","f","f","f","f","Phoenix","f","f","f","f","t","t","t","f","f","f","AZ",33.4590669,-112.0915007,4,124,13,8,8,11,28,4,2,6,5,12
"CqKiF2X0_4erH02-CUiweQ","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.3048512833752,-111.756019592285,4,34,0,2,11,9,14,0,1,4,2,4
"CqmCV_6NV3pwYXkjDtG9bQ","f","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","t","f","f","AZ",33.393795,-111.851194,5,5,4,4,4,4,4,4,4,4,4,4
"cQNUozVuJglYjbBx7N8v_Q","t","f","f","f","f","f","Tempe","f","f","f","f","f","f","f","f","f","f","AZ",33.421663,-111.915278,4.5,7,4,4,4,4,4,4,4,4,4,4
"CQpklGmB4K0_e0eam9hIyg","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.59881,-112.036777,1,3,0,5,7,8,2,0,1,3,1,0
"cqXv3w9Mf-aVi4PPRspfFQ","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.3840503,-111.9263102,4,19,0,1,7,3,1,0,0,2,0,0
"cQZcWeIDKEF-7nWU3gJMUw","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5097465515137,-112.035583496094,3.5,31,0,4,16,6,10,0,1,4,5,4
"Cr-gW3LxHKlNS_8v7dszdQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.6686473,-112.1230677,3,5,4,4,4,4,4,4,4,4,4,4
"Cr2JNnewX53TYd9w6qw6Jw","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.318913,-111.969608,3.5,46,0,7,18,7,14,0,2,8,4,3
"Cr4V7itpuhnek1Y5sqa18g","f","f","t","f","f","f","Laveen","f","t","f","f","f","f","t","f","f","f","AZ",33.377343,-112.166449,1.5,5,0,2,0,1,0,0,0,1,2,0
"CrBsdxqOjPdnfsDxV89GJQ","f","f","f","f","f","f","Scottsdale","f","f","f","t","f","f","f","f","f","f","AZ",33.6341247,-111.9253636,4.5,11,0,5,9,9,1,0,2,4,3,2
"CrQIGsTEn0WUY299ISn-gg","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","f","f","f","f","AZ",33.4218136,-111.9085063,5,4,4,4,4,4,4,4,4,4,4,4
"crSme9ZoLQNMtRGxv0htTw","t","f","f","f","t","f","Goodyear","t","f","f","f","t","t","t","f","f","f","AZ",33.463629,-112.347038,3.5,35,1,4,9,10,23,0,1,5,4,8
"crVeYK71I8xHD1zt23eQpQ","f","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.6397913,-112.2245556,3,3,0,0,3,3,1,0,0,1,0,0
"CRvVvR6aE1eWVRtzQ0UC6g","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.360423,-111.789894,3.5,48,1,4,9,3,9,0,1,3,2,1
"cRwNwAGQ8Pc_-orLefrwRw","t","f","f","f","f","f","Glendale","f","f","f","t","f","f","t","f","f","f","AZ",33.6387798,-112.1672471,4,77,0,1,16,13,15,0,0,7,3,4
"CryrJRssFWwdtxEJh1WIGg","f","f","f","f","f","f","Casa Grande","f","f","t","f","f","f","t","f","f","f","AZ",32.8786958,-111.723008,2.5,3,4,4,4,4,4,4,4,4,4,4
"CsA28RbQ_z_aZmRr8VL5kg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5023379,-111.9275313,4.5,3,4,4,4,4,4,4,4,4,4,4
"CscJ0RubTHofHvRJhERvXQ","f","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.38421,-111.876084,2.5,12,3,7,5,6,3,0,2,1,2,2
"Cse5FvYuACIxljwaac2SZg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4946259,-111.989339,4,42,0,0,1,11,20,0,0,0,2,2
"CsJReJjzMNtw7ZTPCuVZYQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.508282,-112.048136,2.5,31,0,0,1,1,4,0,0,0,0,0
"CsO0gepSDPwR3Iw2qJJNdw","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5751665,-112.1183657,3,5,4,4,4,4,4,4,4,4,4,4
"CSOubdSUxlgPT6GmpzbD5g","t","f","f","f","f","f","Peoria","f","f","f","f","f","f","f","f","f","f","AZ",33.676177,-112.2761182,2.5,3,4,4,4,4,4,4,4,4,4,4
"CSoURupWEyuyzkjMOExKPg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5087368,-111.9953195,4,103,0,5,17,15,19,0,5,8,6,8
"csP_5wtk4DEpHJq65bSsWQ","f","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","t","f","f","AZ",33.2908620450586,-111.720163822174,3,3,4,4,4,4,4,4,4,4,4,4
"CSr0ur66eNbIskCy-UGdHg","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","f","f","f","f","AZ",33.299739,-111.841909,3.5,14,0,3,12,1,0,0,1,3,0,0
"CSuIebFIkTVELjbjxZiajA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.6406144,-112.0238578,4.5,3,4,4,4,4,4,4,4,4,4,4
"cSY4B9WBslxhpkJqaQLwJA","f","f","f","f","f","f","Scottsdale","f","f","f","t","f","f","t","f","f","f","AZ",33.4790013,-111.9245933,4.5,9,0,15,12,14,24,1,6,8,6,9
"cSYYaUTV5YUUxlLis4umaQ","f","t","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.413909280298,-111.69928375555,5,4,0,6,3,4,0,0,0,0,1,0
"Ct_Q9oB95Jm5c14seAFFuQ","f","t","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5808419,-111.929453,5,3,4,4,4,4,4,4,4,4,4,4
"cT_rocMh92B9t62Disp6gA","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.306499,-111.877846,3.5,125,1,7,19,13,15,1,0,5,6,6
"Ct2ioh5hZ83X2ycLSQoKbA","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.4499,-112.0739,2.5,3,4,4,4,4,4,4,4,4,4,4
"cT6pMZ5bayq-Jfb6urGTnw","f","f","f","f","f","f","Tempe","f","f","f","t","f","f","f","f","f","f","AZ",33.4178602,-111.9401301,4.5,4,4,4,4,4,4,4,4,4,4,4
"Ctac9HGdCAABBpAL0sycHQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.480601,-111.983452,3.5,3,4,4,4,4,4,4,4,4,4,4
"CTdeHiHaWeWmAI7-e3xBVg","f","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.317906,-111.964138,5,4,4,4,4,4,4,4,4,4,4,4
"cTFq_1sAnQUb9eMZO6FlvQ","f","f","t","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.481964,-111.926779,1,17,0,3,8,5,0,0,1,3,2,1
"cTirJGp4NdxpbjzBovs8Fg","f","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.4147109,-111.834934,4.5,7,4,4,4,4,4,4,4,4,4,4
"ctJZqkw4VKVk94l-yh145g","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","t","f","f","AZ",33.3558789,-111.9288632,3.5,7,2,5,5,9,11,0,5,0,2,4
"cTqTMukpW3nck7_7z2pbuQ","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","f","f","f","f","AZ",33.2464762,-111.8428373,3,5,4,4,4,4,4,4,4,4,4,4
"CTSuvTp8ymqtrM2t0lwAOA","f","f","f","f","f","f","Apache Junction","f","f","f","f","f","f","t","f","f","f","AZ",33.458022,-111.480971,4.5,22,0,8,8,3,3,0,5,5,2,3
"CTThyHPgQ6_g-G_5rgRA7A","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.452179,-112.03126,3,5,4,4,4,4,4,4,4,4,4,4
"cTyBfWfmgL3vgRetyfmtyA","t","f","f","f","t","f","Phoenix","t","f","f","f","t","t","t","f","f","f","AZ",33.641478,-112.0475,2.5,10,2,1,0,1,3,1,0,0,0,0
"cU3MnzrMLQnYXcNLlats3A","f","f","f","f","f","t","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.4972,-111.929885,5,3,4,4,4,4,4,4,4,4,4,4
"cU6u5Plu0fD2fIvLig7z1Q","t","f","f","f","t","f","Glendale","f","f","f","f","f","f","f","f","f","f","AZ",33.662248,-112.1883568,2.5,9,4,4,4,4,4,4,4,4,4,4
"cUaaIk_3UdeSJ54CLvrW8A","t","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.4243474,-111.9398364,3.5,60,10,4,18,13,18,3,2,7,5,5
"Cuea3kWprROWMo14gCUzTw","f","f","f","f","f","f","Avondale","f","f","f","t","f","f","f","f","f","f","AZ",33.4646902,-112.2797366,2.5,8,4,4,4,4,4,4,4,4,4,4
"CUISGDqI5ZRIGXH9EgpFMw","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.2814031,-111.7893255,2.5,6,0,0,3,3,2,0,0,2,0,0
"cuLVubarNFQ7VjpT5k7DEQ","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4803159,-112.0805886,5,3,4,4,4,4,4,4,4,4,4,4
"cuMMU10KaD0cZ2WdK5XC1A","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.574335,-112.12561,3.5,12,0,0,3,5,2,1,0,2,1,0
"cUN-T9lfSbY8VLsV5YRP0Q","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.392446,-112.024133,5,4,0,0,1,0,0,0,0,2,1,1
"CUQ0MzgQu4LmDakmBQKfLQ","f","f","t","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.6396979,-112.1369979,4.5,4,4,4,4,4,4,4,4,4,4,4
"cuxqnMMmbBV0iE2KJJy60Q","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6283281,-112.013151,3,4,4,4,4,4,4,4,4,4,4,4
"CuyNmwDOLeMTrbv2c6rNxA","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.3640435,-111.8774978,3.5,38,0,0,9,5,8,0,2,6,5,3
"CV4DDFG6tII-ehzaWPXK4g","t","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.6674187,-112.1203279,4,54,1,17,18,13,15,0,8,8,4,3
"Cv4kZH9zN0wpN2Drn0qkLg","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.317422,-111.968815,4,31,0,5,17,13,18,0,2,8,4,6
"cvAOvCjg2E2aGuWbpMTbwQ","f","f","f","f","f","f","Goodyear","f","f","f","f","f","f","t","f","f","f","AZ",33.461879,-112.343001,3,4,0,5,9,5,8,0,2,5,2,2
"cvb__rYMkj4BMhC3p_FB3Q","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.479852,-111.994039,4,10,0,1,7,3,1,0,0,2,1,0
"CVBYF1AMlrZbScRXX8d6XQ","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","f","f","f","f","AZ",33.6757566,-111.9253764,3.5,13,0,0,1,0,1,0,0,0,0,1
"cVejKU_SrdbvzIbQ4oPV0A","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4874748,-112.0830342,4,189,0,6,20,14,21,0,2,8,6,8
"CvJNcUtmNubDF8UmuduNXg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4804272,-111.9969042,2.5,4,0,1,4,5,6,0,0,1,4,2
"CVk_Jk7vU9JlP-U_fArQqA","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.3778441,-112.034083,4,8,1,10,13,8,10,0,5,6,5,5
"CVkUxfuLx5AGLI6eDFU4RA","f","f","f","f","f","f","Tempe","f","f","f","f","t","f","t","f","f","f","AZ",33.422948,-111.941693,4,28,0,3,4,4,15,0,2,1,1,0
"CvldwdURDzZk-3cAlcW3uw","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.44522,-112.030885,1,3,0,1,2,0,0,1,1,1,0,0
"CvoAB3wTchy9j8CE1eEVWg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","t","f","f","AZ",33.569585279088,-111.889003515244,5,3,4,4,4,4,4,4,4,4,4,4
"CVp1BFI5gpXqo31C6Lwkjw","f","f","f","f","f","f","Scottsdale","f","f","f","t","f","f","t","f","f","f","AZ",33.698837,-111.888302,3,5,13,22,14,13,17,4,10,5,6,8
"cvQ1wNSFaBTzrxB5fMLc3Q","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4161245,-112.0079201,2.5,7,0,3,1,1,0,0,0,0,1,2
"CvRGjwCsrQs1DYYL3z8R7g","t","f","f","f","t","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.383123,-111.964485,2.5,76,0,4,19,13,10,0,2,8,5,3
"Cvs4FOqtYH1R4Qhiq4PgpQ","t","f","f","f","f","f","Peoria","f","f","f","f","f","f","t","f","f","f","AZ",33.582549,-112.272365,3.5,3,0,3,0,0,0,0,0,0,0,0
"CvUiIs8x_Um5LjzA0t9wGA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.610919,-111.978912,3.5,3,4,4,4,4,4,4,4,4,4,4
"Cw25B1htHEkowcD-Mz-Z-g","f","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.3266,-111.739955,3,5,0,1,7,2,9,0,1,4,2,0
"cW3shiA8fDGRpsAUDsL1Xg","f","f","f","f","f","f","Surprise","f","f","f","f","f","f","t","f","f","f","AZ",33.6306358,-112.3487017,4.5,4,0,2,5,0,1,0,1,1,0,0
"cWBqZThx4RWNzPJbJ_oXOg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5967969,-111.9805614,3.5,19,0,15,19,12,17,0,4,3,2,4
"cWk5qFGw9I1KlG35f-mMYw","f","f","t","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.711728,-112.200106,1.5,8,4,4,4,4,4,4,4,4,4,4
"cWMQYEsbKyPlZfj85ukCyA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4322113,-112.0429513,3,9,4,4,4,4,4,4,4,4,4,4
"cWnISQaO33CwpQRPcq6nIg","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.4258484,-111.909031,5,7,4,4,4,4,4,4,4,4,4,4
"CWoXwnoxdFihXB1KhH9goA","f","f","f","f","f","t","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5092417,-112.0462659,3.5,22,0,12,16,13,14,0,5,7,6,3
"cwXlbuifzbdn5ITys6B6BA","f","f","f","f","f","t","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.6544591092295,-112.030313014984,3.5,4,0,2,2,4,7,0,3,4,4,3
"cwyAZ52cV60e-NiF-jWCMQ","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.2596494,-111.8579232,1.5,5,0,2,3,1,4,0,1,0,2,2
"cWzUgQlLgStA1GfEhbDIKA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.494594,-111.9893448,4.5,5,4,4,4,4,4,4,4,4,4,4
"cX0BRezhCTm-pkK8_lwWAw","f","f","t","f","f","f","Phoenix","f","t","f","f","f","f","t","f","f","f","AZ",33.4800892,-111.9847505,2.5,4,0,1,8,0,0,0,0,0,1,0
"CXBKnrwlvk6xqFQtEqU1BQ","f","f","t","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.319623,-111.909327,4,3,4,4,4,4,4,4,4,4,4,4
"CxeEW32ufIL3k4fMW1Zg3Q","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5733051,-111.8629763,5,4,4,4,4,4,4,4,4,4,4,4
"cxez_hELhwSkHHj9VwL_Hw","f","f","t","f","f","f","Scottsdale","f","t","f","f","f","f","t","f","f","f","AZ",33.581623,-111.928725,3.5,5,0,2,2,0,0,0,1,1,1,0
"CXHnDc0-HW6pqgbs6fhj7g","f","f","f","f","f","f","Surprise","f","f","f","f","f","f","t","f","f","f","AZ",33.6387278,-112.3531725,3,6,0,2,8,4,3,0,1,0,2,2
"CXi1eCpVyCEu-rQ7p1fTsA","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4594284,-112.0753485,2,12,0,6,2,5,2,0,0,1,0,1
"CXlwVtnc-BfnG2Xi7wBCow","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.337696,-111.994513,4.5,5,0,1,0,0,0,0,1,1,0,0
"CXnnprQt8w2b2DVRvvWNYw","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.678615,-111.9746066,4,3,0,0,2,0,0,0,0,1,1,0
"cxNssAOXk9N6McTeD0LwiQ","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.424281,-111.924088,3,11,0,2,12,11,10,0,1,7,4,4
"CxpPnwMEGzSus0bTA0h7pw","f","f","t","f","f","f","Tempe","f","t","f","f","f","f","t","f","f","f","AZ",33.412498,-111.893867,3.5,3,4,4,4,4,4,4,4,4,4,4
"cxShXLGuI24Xow5YhjFb5Q","f","f","f","f","f","f","Glendale","f","f","f","t","f","f","t","f","f","f","AZ",33.581349,-112.202404,3.5,3,0,5,3,3,11,0,2,2,3,2
"cXx-fHY11Se8rFHkkUeaUg","t","f","f","f","t","f","Phoenix","t","f","f","f","t","t","t","f","f","f","AZ",33.5318417,-112.0479816,3.5,42,2,7,9,13,24,0,4,4,4,6
"cXykQLP4Sr3tNii8k-zckg","t","f","f","f","t","f","Chandler","f","f","f","t","f","f","t","f","f","f","AZ",33.3198334209637,-111.895923614502,4,20,0,3,17,11,12,0,1,3,3,5
"cY4R1DvFA5iuM07D11p-WQ","f","f","t","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.2906772,-111.7599206,4,12,0,6,4,2,2,0,1,2,1,0
"cY96WnOapNKQBt9ww-c1DA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.508818,-112.042839,3,5,0,1,5,2,0,0,0,3,2,0
"CYC_LaZ92tAZeZ7qTpdrmQ","f","f","f","f","f","f","Chandler","f","f","f","t","f","f","t","f","f","f","AZ",33.304182,-111.863321,3.5,5,0,8,7,10,13,0,2,2,4,3
"CycfCC0OLvTjG3Eks8D1og","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5019817,-111.9276185,3.5,75,0,5,19,15,20,0,2,7,6,7
"Cyd1Pzo6mJ2xfMExtsi9xw","f","t","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.363949,-111.928346,4,16,1,5,5,4,4,0,3,4,1,2
"CYiVF2WoRrfrda5f8K8urw","f","f","f","f","f","t","Avondale","f","f","f","f","f","f","t","f","f","f","AZ",33.49218,-112.287468,3.5,4,0,1,0,3,2,0,0,1,2,0
