"bookid","titlewords","authorwords","year","publisher"
"'13983'",1,2,"'1978'","'1480'"
"'13985'",5,2,"'1988'","'246'"
"'13988'",4,2,"'2003'","'57'"
"'13989'",4,3,"'2004'","'180'"
"'14000'",1,2,"'1983'","'19'"
"'14002'",8,2,"'1984'","'2162'"
"'14003'",11,2,"'2003'","'725'"
"'14004'",4,2,"'2003'","'256'"
"'14006'",10,2,"'2003'","'28'"
"'14007'",1,3,"'2003'","'42'"
"'14008'",10,3,"'2003'","'42'"
"'14009'",3,3,"'2003'","'7'"
"'14010'",8,2,"'1985'","'92'"
"'14012'",1,3,"'1994'","'74'"
"'14014'",6,2,"'2002'","'135'"
"'14015'",3,2,"'1995'","'137'"
"'14016'",10,2,"'1987'","'109'"
"'14019'",1,4,"'1999'","'253'"
"'14020'",2,2,"'1985'","'57'"
"'14021'",2,2,"'1997'","'83'"
"'14022'",4,2,"'1980'","'28'"
"'14023'",8,2,"'2003'","'275'"
"'14024'",6,2,"'2002'","'160'"
"'14026'",8,2,"'2000'","'172'"
"'14027'",6,2,"'2002'","'139'"
"'14028'",8,3,"'2003'","'994'"
"'14030'",9,3,"'2003'","'41'"
"'14032'",10,2,"'1999'","'994'"
"'14034'",2,2,"'2002'","'14'"
"'14039'",7,2,"'2002'","'275'"
"'14041'",3,2,"'1988'","'34'"
"'14042'",10,2,"'1998'","'281'"
"'14043'",10,2,"'2000'","'143'"
"'14044'",5,2,"'1995'","'96'"
"'14045'",4,2,"'1994'","'44'"
"'14046'",5,2,"'0'","'68'"
"'14049'",4,2,"'2000'","'526'"
"'14060'",7,2,"'1994'","'1433'"
"'14064'",3,2,"'2000'","'28'"
"'14066'",3,2,"'1999'","'36'"
"'14067'",2,3,"'2000'","'40'"
"'14072'",7,2,"'1984'","'1104'"
"'14073'",2,2,"'1998'","'596'"
"'14074'",10,3,"'2000'","'76'"
"'14075'",2,2,"'2001'","'381'"
"'14076'",3,2,"'2002'","'28'"
"'14077'",8,2,"'2003'","'92'"
"'14079'",7,2,"'2002'","'171'"
"'14080'",4,2,"'1996'","'7'"
"'14081'",6,2,"'1998'","'814'"
"'14083'",5,2,"'1994'","'28'"
"'14084'",5,3,"'2002'","'100'"
"'14085'",3,2,"'2000'","'59'"
"'14087'",11,2,"'2000'","'181'"
"'14089'",1,2,"'2000'","'40'"
"'14091'",7,2,"'2000'","'995'"
"'14092'",3,4,"'1997'","'2171'"
"'14096'",2,2,"'2000'","'995'"
"'14098'",1,3,"'1999'","'581'"
"'14099'",5,2,"'1997'","'322'"
"'14100'",9,2,"'2001'","'172'"
"'14102'",19,2,"'1989'","'670'"
"'14104'",6,3,"'1999'","'4'"
"'14107'",3,2,"'2002'","'2104'"
"'14108'",8,2,"'1998'","'1'"
"'14109'",5,4,"'2002'","'71'"
"'14110'",4,2,"'1988'","'56'"
"'14112'",12,2,"'1997'","'1275'"
"'14113'",11,2,"'2000'","'258'"
"'14115'",5,2,"'1999'","'2175'"
"'14116'",13,3,"'1995'","'2176'"
"'14117'",6,3,"'2001'","'525'"
"'14118'",3,2,"'2002'","'38'"
"'14119'",2,2,"'2003'","'742'"
"'14120'",8,2,"'2003'","'256'"
"'14121'",2,2,"'1990'","'19'"
"'14122'",4,3,"'1992'","'2177'"
"'14125'",10,2,"'1992'","'39'"
"'14127'",4,2,"'1999'","'355'"
"'14129'",5,2,"'1995'","'465'"
"'14130'",4,3,"'1999'","'581'"
"'14132'",2,2,"'2002'","'2179'"
"'14133'",3,2,"'2000'","'160'"
"'14134'",2,2,"'1991'","'69'"
"'14135'",3,2,"'2003'","'171'"
"'14136'",1,2,"'1981'","'57'"
"'14137'",4,2,"'1987'","'35'"
"'14142'",2,3,"'1992'","'346'"
"'14143'",1,2,"'1999'","'38'"
"'14145'",6,2,"'1999'","'2180'"
"'14146'",4,2,"'1997'","'31'"
"'14147'",4,2,"'1992'","'820'"
"'14150'",4,2,"'2000'","'28'"
"'14151'",7,3,"'2002'","'1228'"
"'14156'",2,2,"'1999'","'198'"
"'14157'",2,2,"'1996'","'40'"
"'14158'",7,2,"'1991'","'97'"
"'14160'",1,2,"'1991'","'39'"
"'14161'",4,3,"'1992'","'40'"
"'14162'",7,3,"'1996'","'25'"
"'14163'",5,3,"'1996'","'25'"
"'14164'",6,3,"'1995'","'25'"
"'14165'",6,3,"'1995'","'734'"
"'14166'",8,3,"'1995'","'25'"
"'14167'",7,3,"'1995'","'734'"
"'14168'",8,3,"'1995'","'25'"
"'14169'",8,3,"'1995'","'25'"
"'14170'",7,3,"'1995'","'25'"
"'14171'",9,3,"'1996'","'25'"
"'14172'",7,3,"'1995'","'25'"
"'14173'",6,3,"'1995'","'25'"
"'14176'",8,2,"'2002'","'670'"
"'14177'",1,2,"'2000'","'837'"
"'14181'",3,2,"'2003'","'28'"
"'14183'",3,2,"'1997'","'100'"
"'14185'",10,2,"'2004'","'79'"
"'14187'",2,3,"'2004'","'213'"
"'14188'",3,3,"'2000'","'168'"
"'14189'",4,3,"'1995'","'2183'"
"'14195'",2,2,"'2003'","'40'"
"'14197'",7,2,"'2003'","'182'"
"'14198'",2,2,"'1990'","'74'"
"'14199'",1,2,"'2003'","'149'"
"'14200'",9,2,"'1998'","'215'"
"'14202'",5,3,"'1996'","'6'"
"'14204'",3,2,"'1990'","'40'"
"'14205'",2,2,"'2004'","'399'"
"'14207'",3,2,"'2003'","'182'"
"'14211'",1,2,"'2001'","'2184'"
"'14212'",2,2,"'1999'","'95'"
"'14216'",2,3,"'2003'","'256'"
"'14218'",2,2,"'2001'","'135'"
"'14220'",2,2,"'2001'","'74'"
"'14222'",4,3,"'1992'","'43'"
"'14223'",8,3,"'2002'","'272'"
"'14224'",2,3,"'2002'","'74'"
"'14225'",4,2,"'2003'","'461'"
"'14226'",2,2,"'2003'","'28'"
"'14227'",1,2,"'1995'","'28'"
"'14229'",2,2,"'1996'","'28'"
"'14230'",7,2,"'1996'","'28'"
"'14232'",10,3,"'1996'","'28'"
"'14235'",3,2,"'1977'","'28'"
"'14237'",2,2,"'1993'","'39'"
"'14238'",4,2,"'1999'","'40'"
"'14239'",1,2,"'1995'","'74'"
"'14240'",1,2,"'2004'","'1087'"
"'14243'",5,2,"'2002'","'138'"
"'14245'",9,2,"'2000'","'43'"
"'14246'",4,2,"'2004'","'182'"
"'14247'",5,3,"'1997'","'46'"
"'14249'",5,2,"'1999'","'39'"
"'14250'",1,3,"'1990'","'92'"
"'14252'",6,2,"'1996'","'34'"
"'14253'",4,2,"'1999'","'36'"
"'14256'",2,2,"'2000'","'43'"
"'14257'",3,2,"'0'","'10'"
"'14259'",7,2,"'1979'","'455'"
"'14260'",2,2,"'1982'","'28'"
"'14261'",5,4,"'1993'","'57'"
"'14263'",3,2,"'2002'","'2188'"
"'14264'",2,3,"'2000'","'41'"
"'14266'",4,2,"'1997'","'2107'"
"'14268'",4,2,"'1996'","'2107'"
"'14270'",4,2,"'1995'","'2107'"
"'14272'",4,2,"'1995'","'2107'"
"'14273'",4,2,"'2003'","'2107'"
"'14275'",3,2,"'1995'","'655'"
"'14280'",3,2,"'1984'","'56'"
"'14284'",5,2,"'1996'","'2190'"
"'14285'",4,2,"'1980'","'2191'"
"'14292'",6,2,"'1998'","'659'"
"'14293'",9,2,"'2001'","'209'"
"'14294'",3,2,"'1988'","'140'"
"'14297'",4,2,"'1999'","'57'"
"'14298'",2,2,"'1996'","'74'"
"'14302'",2,2,"'1990'","'92'"
"'14303'",1,2,"'1978'","'408'"
"'14304'",2,3,"'1998'","'36'"
"'14305'",3,3,"'1997'","'36'"
"'14306'",3,2,"'1995'","'10'"
"'14307'",3,3,"'1996'","'6'"
"'14308'",3,2,"'1993'","'10'"
"'14309'",3,3,"'1998'","'2195'"
"'14310'",2,3,"'2000'","'370'"
"'14311'",7,3,"'1993'","'128'"
"'14312'",2,3,"'2000'","'7'"
"'14321'",10,2,"'1995'","'181'"
"'14322'",9,2,"'1994'","'425'"
"'14323'",8,2,"'1994'","'465'"
"'14326'",9,2,"'2003'","'181'"
"'14327'",7,2,"'2003'","'41'"
"'14328'",12,2,"'2001'","'239'"
"'14329'",4,2,"'2001'","'41'"
"'14330'",3,2,"'2003'","'181'"
"'14331'",8,2,"'2001'","'171'"
"'14332'",4,2,"'2003'","'465'"
"'14333'",7,2,"'2000'","'171'"
"'14334'",9,2,"'2001'","'38'"
"'14335'",8,2,"'1999'","'171'"
"'14336'",4,3,"'1988'","'346'"
"'14337'",2,2,"'1999'","'100'"
"'14338'",2,3,"'2001'","'465'"
"'14339'",11,2,"'1999'","'41'"
"'14341'",6,3,"'1995'","'100'"
"'14342'",7,2,"'2001'","'110'"
"'14343'",2,3,"'2001'","'465'"
"'14346'",4,2,"'2002'","'2199'"
"'14350'",2,2,"'1999'","'28'"
"'14354'",2,2,"'1997'","'28'"
"'14355'",13,2,"'2001'","'252'"
"'14357'",2,2,"'2004'","'57'"
"'14358'",2,2,"'2003'","'160'"
"'14359'",5,3,"'1957'","'56'"
"'14360'",3,2,"'2003'","'28'"
"'14363'",3,2,"'1997'","'41'"
"'14364'",14,2,"'1999'","'150'"
"'14366'",3,2,"'1999'","'133'"
"'14367'",5,2,"'1995'","'43'"
"'14368'",6,2,"'1995'","'133'"
"'14369'",11,2,"'1987'","'252'"
"'14371'",12,3,"'1996'","'381'"
"'14373'",14,1,"'1997'","'254'"
"'14375'",1,2,"'2004'","'7'"
"'14376'",4,2,"'1994'","'586'"
"'14377'",7,2,"'2004'","'152'"
"'14378'",10,3,"'1993'","'154'"
"'14379'",1,2,"'2004'","'2204'"
"'14380'",9,3,"'1989'","'89'"
"'14381'",8,2,"'1992'","'807'"
"'14382'",7,2,"'2003'","'610'"
"'14383'",22,3,"'1998'","'182'"
"'14385'",2,3,"'1996'","'35'"
"'14386'",5,2,"'2003'","'215'"
"'14387'",3,2,"'2003'","'168'"
"'14389'",2,2,"'1990'","'66'"
"'14392'",12,3,"'1975'","'39'"
"'14394'",5,2,"'1995'","'39'"
"'14395'",6,2,"'1998'","'1042'"
"'14397'",1,2,"'1999'","'6'"
"'14398'",3,2,"'2001'","'41'"
"'14399'",4,2,"'2002'","'41'"
"'14401'",1,2,"'1996'","'59'"
"'14404'",3,2,"'1995'","'59'"
"'14405'",1,2,"'1987'","'59'"
"'14406'",1,2,"'1987'","'59'"
"'14407'",1,2,"'1987'","'636'"
"'14408'",7,2,"'1998'","'110'"
"'14409'",7,2,"'1996'","'36'"
"'14411'",20,3,"'2002'","'110'"
"'14413'",12,2,"'1988'","'34'"
"'14414'",9,3,"'2000'","'74'"
"'14415'",2,2,"'2002'","'53'"
"'14416'",2,2,"'1992'","'311'"
"'14417'",1,2,"'1981'","'68'"
"'14420'",3,2,"'1983'","'39'"
"'14422'",3,2,"'1992'","'172'"
"'14424'",8,2,"'1984'","'19'"
"'14425'",5,2,"'1999'","'1069'"
"'14426'",5,2,"'1952'","'214'"
"'14427'",1,2,"'2001'","'57'"
"'14428'",9,2,"'2000'","'42'"
"'14429'",5,3,"'2002'","'354'"
"'14431'",7,2,"'1996'","'168'"
"'14434'",9,2,"'1992'","'85'"
"'14435'",2,2,"'1997'","'209'"
"'14439'",7,2,"'1992'","'139'"
"'14440'",6,2,"'2002'","'30'"
"'14442'",1,2,"'1990'","'306'"
"'14444'",2,2,"'1997'","'41'"
"'14447'",14,2,"'2000'","'1939'"
"'14448'",11,2,"'1999'","'74'"
"'14449'",8,2,"'2001'","'149'"
"'14450'",5,2,"'2003'","'152'"
"'14452'",2,2,"'2001'","'213'"
"'14453'",5,2,"'1988'","'56'"
"'14460'",1,2,"'2001'","'89'"
"'14461'",5,2,"'2002'","'246'"
"'14463'",1,3,"'1990'","'92'"
"'14465'",6,2,"'1996'","'1090'"
"'14466'",2,2,"'2004'","'57'"
"'14469'",5,2,"'1998'","'181'"
"'14471'",10,2,"'1998'","'105'"
"'14472'",4,1,"'1993'","'105'"
"'14476'",5,2,"'2001'","'15'"
"'14479'",1,2,"'1978'","'113'"
"'14484'",6,2,"'1987'","'214'"
"'14485'",6,2,"'1987'","'807'"
"'14487'",5,2,"'2001'","'117'"
"'14489'",5,2,"'1989'","'126'"
"'14492'",2,3,"'1991'","'6'"
"'14493'",10,2,"'1990'","'28'"
"'14494'",7,2,"'2003'","'764'"
"'14495'",11,2,"'2002'","'53'"
"'14504'",9,3,"'1993'","'69'"
"'14505'",14,1,"'1995'","'69'"
"'14512'",19,2,"'1998'","'2219'"
"'14514'",7,3,"'1989'","'36'"
"'14515'",8,2,"'1998'","'40'"
"'14523'",16,2,"'1999'","'40'"
"'14531'",19,3,"'1974'","'127'"
"'14532'",10,2,"'1990'","'34'"
"'14537'",7,3,"'1983'","'289'"
"'14540'",10,2,"'1999'","'1778'"
"'14541'",6,2,"'1998'","'7'"
"'14542'",5,2,"'1992'","'56'"
"'14545'",3,2,"'1992'","'31'"
"'14547'",9,2,"'2002'","'313'"
"'14548'",8,2,"'2001'","'313'"
"'14549'",7,2,"'2001'","'313'"
"'14553'",5,2,"'2002'","'1939'"
"'14554'",3,2,"'1997'","'234'"
"'14560'",4,2,"'2002'","'234'"
"'14563'",5,2,"'1995'","'70'"
"'14567'",4,2,"'2000'","'2228'"
"'14580'",3,2,"'2003'","'763'"
"'14581'",5,2,"'2002'","'256'"
"'14583'",3,2,"'2000'","'133'"
"'14584'",10,3,"'1954'","'88'"
"'14593'",3,2,"'1985'","'40'"
"'14594'",5,2,"'1983'","'36'"
"'14596'",6,3,"'1999'","'41'"
"'14598'",3,2,"'1990'","'109'"
"'14599'",8,2,"'0'","'1092'"
"'14600'",12,3,"'2004'","'1103'"
"'14601'",7,2,"'1988'","'822'"
"'14606'",9,2,"'2003'","'29'"
"'14607'",2,3,"'2002'","'141'"
"'14608'",9,2,"'2003'","'2234'"
"'14609'",5,2,"'2004'","'143'"
"'14610'",9,2,"'2001'","'36'"
"'14611'",7,2,"'1988'","'137'"
"'14613'",7,2,"'1999'","'137'"
"'14614'",3,3,"'2004'","'7'"
"'14615'",2,2,"'1982'","'214'"
"'14616'",3,2,"'2000'","'41'"
"'14617'",13,3,"'1996'","'268'"
"'14619'",3,2,"'2003'","'57'"
"'14622'",6,2,"'2003'","'57'"
"'14624'",4,3,"'2003'","'46'"
"'14626'",7,2,"'2003'","'7'"
"'14628'",2,2,"'2003'","'74'"
"'14631'",3,2,"'1996'","'134'"
"'14632'",2,2,"'1995'","'390'"
"'14636'",2,2,"'2003'","'7'"
"'14637'",1,3,"'2003'","'134'"
"'14639'",5,2,"'2003'","'53'"
"'14640'",3,3,"'2003'","'76'"
"'14642'",8,2,"'2002'","'46'"
"'14643'",2,2,"'2003'","'83'"
"'14645'",2,2,"'2002'","'46'"
"'14646'",2,3,"'2001'","'40'"
"'14647'",3,2,"'1998'","'7'"
"'14648'",5,2,"'2002'","'7'"
"'14649'",2,2,"'1995'","'39'"
"'14650'",3,2,"'1999'","'131'"
"'14652'",7,2,"'1999'","'2235'"
"'14654'",6,3,"'1984'","'178'"
"'14655'",9,2,"'1988'","'56'"
"'14656'",5,2,"'1998'","'34'"
"'14657'",3,2,"'1991'","'2237'"
"'14659'",6,2,"'2000'","'59'"
"'14661'",6,2,"'2003'","'931'"
"'14663'",5,2,"'1973'","'44'"
"'14668'",3,3,"'2003'","'79'"
"'14669'",4,2,"'1984'","'56'"
"'14670'",1,2,"'1996'","'214'"
"'14673'",4,2,"'2003'","'10'"
"'14675'",6,2,"'1994'","'39'"
"'14676'",2,2,"'1980'","'1355'"
"'14679'",2,2,"'2003'","'182'"
"'14680'",8,3,"'2003'","'49'"
"'14682'",3,2,"'2001'","'248'"
"'14683'",1,2,"'2001'","'355'"
"'14684'",1,2,"'2001'","'129'"
"'14685'",5,2,"'1983'","'39'"
"'14686'",1,2,"'1978'","'81'"
"'14688'",5,2,"'2001'","'2241'"
"'14691'",2,2,"'2001'","'28'"
"'14692'",4,2,"'1997'","'52'"
"'14693'",8,2,"'1994'","'99'"
"'14694'",11,2,"'1994'","'75'"
"'14697'",6,2,"'2003'","'892'"
"'14698'",4,2,"'1996'","'2242'"
"'14700'",8,3,"'1998'","'2243'"
"'14701'",6,3,"'1993'","'644'"
"'14702'",4,3,"'1996'","'644'"
"'14703'",5,3,"'2002'","'2244'"
"'14704'",3,2,"'2003'","'1137'"
"'14705'",2,2,"'2003'","'308'"
"'14708'",3,2,"'1999'","'56'"
"'14710'",5,2,"'1992'","'140'"
"'14711'",4,2,"'2002'","'2246'"
"'14714'",7,3,"'1981'","'406'"
"'14715'",3,2,"'1992'","'41'"
"'14717'",3,2,"'2001'","'596'"
"'14718'",11,2,"'2003'","'1213'"
"'14721'",9,2,"'1994'","'209'"
"'14727'",14,3,"'1988'","'1'"
"'14730'",6,2,"'1998'","'1675'"
"'14735'",8,2,"'2001'","'2250'"
"'14736'",21,2,"'2001'","'706'"
"'14739'",4,2,"'1992'","'28'"
"'14740'",5,2,"'1993'","'2252'"
"'14741'",21,2,"'1995'","'34'"
"'14743'",9,2,"'1987'","'133'"
"'14744'",7,2,"'1989'","'56'"
"'14745'",2,2,"'1991'","'92'"
"'14748'",3,2,"'2001'","'38'"
"'14749'",3,2,"'1988'","'40'"
"'14750'",5,3,"'1990'","'109'"
"'14752'",4,2,"'1986'","'246'"
"'14753'",3,2,"'2000'","'876'"
"'14754'",4,2,"'2000'","'104'"
"'14755'",9,2,"'1997'","'360'"
"'14757'",3,2,"'1996'","'10'"
"'14758'",2,2,"'2002'","'2254'"
"'14759'",5,2,"'2000'","'616'"
"'14767'",1,2,"'1997'","'435'"
"'14770'",12,2,"'1995'","'2008'"
"'14772'",12,3,"'1994'","'522'"
"'14773'",6,2,"'1996'","'386'"
"'14774'",16,2,"'1998'","'57'"
"'14776'",5,2,"'1991'","'28'"
"'14778'",13,2,"'1989'","'281'"
"'14780'",20,2,"'1990'","'1404'"
"'14782'",3,2,"'1994'","'160'"
"'14783'",2,2,"'1995'","'1566'"
"'14785'",11,2,"'1983'","'28'"
"'14791'",4,2,"'1988'","'321'"
"'14794'",1,3,"'1983'","'137'"
"'14795'",2,2,"'1993'","'109'"
"'14796'",3,3,"'1988'","'171'"
"'14798'",2,2,"'1985'","'39'"
"'14801'",5,3,"'1985'","'425'"
"'14803'",2,2,"'1996'","'74'"
"'14804'",3,2,"'1991'","'40'"
"'14805'",6,2,"'1984'","'39'"
"'14806'",3,2,"'2001'","'132'"
"'14807'",4,2,"'1997'","'41'"
"'14808'",1,2,"'2003'","'41'"
"'14809'",3,2,"'2000'","'38'"
"'14811'",3,2,"'2000'","'83'"
"'14812'",5,2,"'1996'","'321'"
"'14813'",1,2,"'1998'","'74'"
"'14814'",15,2,"'1998'","'872'"
"'14817'",3,2,"'2001'","'41'"
"'14818'",6,2,"'1992'","'137'"
"'14819'",5,3,"'1997'","'171'"
"'14820'",18,4,"'1995'","'128'"
"'14821'",3,2,"'1999'","'28'"
"'14826'",5,2,"'2001'","'292'"
"'14827'",9,2,"'1988'","'303'"
"'14829'",6,2,"'1996'","'100'"
"'14830'",7,2,"'2003'","'200'"
"'14833'",9,3,"'1993'","'500'"
"'14835'",14,2,"'1999'","'143'"
"'14836'",10,2,"'2002'","'281'"
"'14837'",4,3,"'2001'","'168'"
"'14838'",2,2,"'2002'","'53'"
"'14839'",3,3,"'2000'","'168'"
"'14840'",3,2,"'2002'","'53'"
"'14841'",19,2,"'2002'","'160'"
"'14842'",5,3,"'1999'","'19'"
"'14843'",3,2,"'1997'","'40'"
"'14844'",3,2,"'2003'","'149'"
"'14845'",3,2,"'2003'","'7'"
"'14847'",4,3,"'1999'","'19'"
"'14852'",3,2,"'2001'","'35'"
"'14853'",2,3,"'1997'","'40'"
"'14856'",4,3,"'2002'","'252'"
"'14857'",4,3,"'0'","'46'"
"'14858'",4,2,"'1999'","'313'"
"'14874'",4,2,"'1994'","'38'"
"'14878'",2,2,"'2001'","'168'"
"'14879'",2,2,"'1996'","'28'"
"'14881'",2,2,"'1996'","'7'"
"'14883'",2,2,"'1995'","'28'"
"'14884'",1,2,"'1992'","'35'"
"'14886'",5,2,"'1995'","'92'"
"'14887'",1,2,"'1995'","'597'"
"'14889'",3,2,"'1982'","'6'"
"'14890'",2,2,"'2001'","'569'"
"'14891'",3,2,"'2000'","'525'"
"'14892'",12,3,"'1989'","'160'"
"'14893'",18,2,"'1987'","'2265'"
"'14895'",2,2,"'1984'","'39'"
"'14896'",1,2,"'1992'","'39'"
"'14897'",2,2,"'2001'","'40'"
"'14900'",2,3,"'1992'","'82'"
"'14901'",2,2,"'1997'","'39'"
"'14902'",6,2,"'1997'","'2267'"
"'14904'",2,2,"'1984'","'462'"
"'14905'",3,2,"'2002'","'182'"
"'14906'",5,3,"'2000'","'10'"
"'14907'",11,2,"'2001'","'7'"
"'14913'",2,2,"'1995'","'32'"
"'14914'",8,2,"'1991'","'56'"
"'14917'",3,2,"'1996'","'53'"
"'14922'",1,3,"'1991'","'140'"
"'14924'",3,2,"'2003'","'607'"
"'14926'",2,2,"'2001'","'132'"
"'14928'",6,2,"'1977'","'35'"
"'14929'",4,2,"'1998'","'69'"
"'14930'",3,2,"'2000'","'32'"
"'14931'",5,3,"'2003'","'9'"
"'14932'",2,2,"'1999'","'1713'"
"'14933'",6,2,"'2000'","'66'"
"'14935'",10,3,"'1997'","'5'"
"'14937'",8,2,"'2000'","'28'"
"'14938'",5,2,"'1995'","'66'"
"'14940'",10,2,"'2003'","'31'"
"'14941'",2,2,"'1993'","'140'"
"'14949'",8,2,"'1998'","'760'"
"'14953'",1,2,"'2002'","'7'"
"'14955'",9,3,"'1984'","'39'"
"'14957'",2,2,"'2003'","'284'"
"'14959'",4,2,"'1993'","'7'"
"'14960'",2,3,"'1995'","'74'"
"'14961'",7,3,"'2000'","'182'"
"'14963'",2,2,"'2002'","'40'"
"'14964'",5,2,"'2000'","'213'"
"'14965'",3,2,"'1998'","'7'"
"'14966'",2,2,"'1985'","'36'"
"'14968'",1,2,"'1997'","'74'"
"'14970'",1,1,"'1990'","'28'"
"'14971'",3,3,"'1991'","'7'"
"'14972'",4,2,"'1990'","'168'"
"'14974'",3,2,"'1978'","'19'"
"'14976'",11,2,"'1992'","'74'"
"'14977'",8,3,"'1985'","'491'"
"'14978'",17,3,"'1998'","'495'"
"'14979'",5,2,"'1995'","'10'"
"'14981'",6,2,"'1992'","'66'"
"'14983'",2,2,"'1998'","'140'"
"'14984'",2,2,"'1999'","'278'"
"'14985'",3,2,"'0'","'594'"
"'14986'",10,2,"'1994'","'444'"
"'14987'",6,2,"'2000'","'66'"
"'14988'",3,2,"'2003'","'143'"
"'14989'",5,2,"'2003'","'53'"
"'14990'",6,2,"'1995'","'445'"
"'14992'",4,3,"'1990'","'171'"
"'14993'",4,2,"'1988'","'35'"
"'14995'",4,3,"'1987'","'168'"
"'14996'",4,2,"'2003'","'10'"
"'14998'",1,2,"'2000'","'168'"
"'14999'",6,3,"'2000'","'256'"
"'15000'",7,2,"'1999'","'354'"
"'15002'",3,2,"'2002'","'38'"
"'15003'",3,2,"'1991'","'36'"
"'15004'",10,2,"'2003'","'256'"
"'15005'",6,2,"'2000'","'89'"
"'15006'",12,2,"'1983'","'2279'"
"'15013'",9,3,"'2003'","'21'"
"'15015'",6,2,"'1996'","'28'"
"'15018'",2,2,"'2001'","'74'"
"'15019'",10,3,"'1995'","'39'"
"'15020'",2,3,"'1996'","'19'"
"'15022'",1,2,"'1984'","'39'"
"'15024'",3,2,"'1997'","'575'"
"'15025'",3,2,"'1987'","'74'"
"'15026'",5,3,"'1995'","'747'"
"'15028'",4,2,"'2002'","'114'"
"'15029'",4,2,"'2003'","'198'"
"'15036'",1,2,"'1996'","'28'"
"'15037'",6,2,"'2002'","'95'"
"'15039'",2,2,"'2004'","'36'"
"'15041'",5,2,"'2000'","'10'"
"'15043'",8,2,"'1993'","'28'"
"'15044'",3,2,"'2004'","'44'"
"'15045'",5,3,"'2004'","'979'"
"'15046'",5,2,"'1998'","'700'"
"'15048'",2,2,"'1999'","'40'"
"'15050'",1,2,"'1997'","'161'"
"'15053'",3,2,"'1995'","'1019'"
"'15055'",2,2,"'1999'","'89'"
"'15056'",3,2,"'1997'","'282'"
"'15057'",3,2,"'1992'","'61'"
"'15059'",5,2,"'2002'","'952'"
"'15060'",7,2,"'1992'","'92'"
"'15063'",2,2,"'1982'","'39'"
"'15064'",1,2,"'1986'","'40'"
"'15065'",1,2,"'1991'","'40'"
"'15066'",3,2,"'1997'","'40'"
"'15067'",2,2,"'1995'","'172'"
"'15069'",5,2,"'2001'","'252'"
"'15070'",14,2,"'2003'","'334'"
"'15071'",2,2,"'1994'","'59'"
"'15075'",4,2,"'1996'","'282'"
"'15076'",10,2,"'2000'","'706'"
"'15077'",2,2,"'2003'","'74'"
"'15078'",1,2,"'1995'","'46'"
"'15081'",3,2,"'1999'","'36'"
"'15082'",3,2,"'1999'","'134'"
"'15083'",2,2,"'1991'","'40'"
"'15084'",2,2,"'1995'","'40'"
"'15085'",3,2,"'1994'","'39'"
"'15086'",3,2,"'1985'","'346'"
"'15087'",5,2,"'1997'","'134'"
"'15088'",3,2,"'1995'","'40'"
"'15089'",2,2,"'1993'","'35'"
"'15090'",1,2,"'1995'","'53'"
"'15091'",5,3,"'1993'","'1566'"
"'15092'",3,2,"'1998'","'134'"
"'15094'",2,2,"'1999'","'40'"
"'15095'",3,2,"'2002'","'35'"
"'15096'",2,2,"'2000'","'38'"
"'15097'",2,2,"'2000'","'40'"
"'15098'",2,2,"'1991'","'40'"
"'15099'",2,2,"'1995'","'390'"
"'15100'",1,2,"'1998'","'131'"
"'15101'",1,2,"'1995'","'40'"
"'15103'",1,2,"'1994'","'168'"
"'15104'",2,2,"'1991'","'40'"
"'15105'",3,2,"'1997'","'39'"
"'15106'",3,2,"'2001'","'39'"
"'15108'",5,2,"'1994'","'57'"
"'15109'",3,2,"'1990'","'40'"
"'15110'",2,2,"'2002'","'426'"
"'15111'",4,2,"'2002'","'28'"
"'15112'",6,4,"'1995'","'28'"
"'15113'",6,3,"'2002'","'882'"
"'15114'",3,2,"'2002'","'708'"
"'15117'",1,2,"'2000'","'83'"
"'15118'",1,2,"'1991'","'38'"
"'15121'",3,2,"'1993'","'118'"
"'15122'",4,2,"'1994'","'30'"
"'15133'",2,3,"'1995'","'214'"
"'15137'",3,3,"'1993'","'32'"
"'15138'",2,2,"'1991'","'160'"
"'15145'",16,2,"'1996'","'34'"
"'15150'",5,2,"'1997'","'1711'"
"'15151'",4,3,"'1995'","'619'"
"'15154'",5,2,"'1992'","'150'"
"'15156'",4,3,"'1998'","'156'"
"'15157'",5,2,"'1998'","'105'"
"'15158'",4,2,"'1998'","'1703'"
"'15161'",7,3,"'1999'","'66'"
"'15162'",2,2,"'1978'","'139'"
"'15165'",8,2,"'2004'","'28'"
"'15166'",12,2,"'2002'","'89'"
"'15167'",3,2,"'1989'","'160'"
"'15169'",9,2,"'2000'","'2295'"
"'15170'",1,2,"'2003'","'172'"
"'15173'",6,2,"'1991'","'837'"
"'15175'",5,2,"'1990'","'1'"
"'15177'",4,2,"'1997'","'164'"
"'15178'",1,2,"'2001'","'172'"
"'15180'",9,2,"'1996'","'252'"
"'15181'",9,2,"'1994'","'252'"
"'15183'",5,2,"'1988'","'252'"
"'15184'",7,2,"'1989'","'252'"
"'15185'",8,2,"'1992'","'252'"
"'15186'",9,2,"'1991'","'252'"
"'15187'",5,2,"'1991'","'252'"
"'15188'",4,2,"'1990'","'252'"
"'15189'",3,2,"'1987'","'252'"
"'15191'",8,2,"'1988'","'32'"
"'15192'",6,2,"'1998'","'1703'"
"'15194'",3,3,"'1990'","'56'"
"'15195'",7,3,"'1997'","'52'"
