"artistid","numscrobbles","numlistens","rock","electronic","indie","pop","hiphop"
"'1917'",4933396,137633,"t","f","f","f","f"
"'1919'",5574552,134829,"t","f","f","t","f"
"'1922'",2433530,68200,"f","f","f","t","f"
"'1925'",3999676,441546,"t","f","f","t","f"
"'1927'",1939395,79008,"t","f","f","f","f"
"'1929'",18015576,234795,"t","f","f","f","f"
"'1931'",4424540,108413,"t","f","f","f","f"
"'1934'",100498051,2522179,"f","f","f","t","f"
"'1935'",5001517,493426,"f","f","f","t","t"
"'1936'",4682772,566179,"f","f","f","t","f"
"'1937'",1757531,281353,"f","f","f","f","f"
"'1941'",25929132,1454933,"f","f","f","f","t"
"'1942'",3090168,378710,"f","t","f","f","f"
"'1943'",37140573,650917,"f","t","f","f","t"
"'1944'",38742692,621380,"f","f","t","f","f"
"'1945'",5403003,268587,"f","t","f","f","f"
"'1946'",12947328,352224,"f","f","f","f","t"
"'1947'",45344834,1174130,"t","f","t","f","f"
"'1948'",7985332,335121,"f","f","f","f","t"
"'1949'",21055270,618341,"t","f","t","f","f"
"'1950'",17467918,582169,"f","f","f","f","t"
"'1952'",8913248,532975,"f","f","f","f","t"
"'1953'",4816274,146652,"f","t","f","f","t"
"'1954'",22635754,778007,"t","t","t","f","f"
"'1957'",37956687,916126,"t","f","t","f","f"
"'1958'",47494454,1600102,"t","f","t","f","f"
"'1960'",3066769,170348,"f","f","t","t","f"
"'1962'",2033759,138668,"f","f","f","f","t"
"'1963'",18239450,492723,"f","f","f","f","t"
"'1964'",31313912,702190,"t","f","t","f","f"
"'1965'",22947370,802764,"f","t","f","f","f"
"'1966'",7419032,380297,"t","f","t","t","f"
"'1967'",1353472,109180,"f","f","f","f","t"
"'1969'",11402027,420738,"f","t","f","f","t"
"'1970'",11711291,524037,"f","t","f","f","t"
"'1971'",25987559,931269,"f","f","t","f","f"
"'1972'",6124593,442948,"f","f","f","f","t"
"'1974'",80199135,2680097,"t","f","f","f","f"
"'1975'",38111639,200690,"f","f","f","f","t"
"'1976'",113907446,1996351,"t","f","t","f","f"
"'1977'",27364243,1139671,"t","f","t","f","f"
"'1978'",6743765,79554,"t","f","f","f","f"
"'1979'",29737780,1368958,"f","f","f","f","t"
"'1981'",23971857,191925,"t","f","f","f","f"
"'1982'",5111272,112111,"t","f","t","f","f"
"'1983'",52886192,1265955,"f","t","f","t","f"
"'1984'",21391596,198217,"t","f","f","f","f"
"'1985'",11767267,769955,"t","f","f","f","f"
"'1986'",25828734,725504,"f","t","f","t","f"
"'1988'",21143377,908069,"t","f","t","f","f"
"'1989'",10078743,90775,"f","f","f","f","t"
"'1990'",21043084,763416,"f","t","f","f","f"
"'1991'",3719052,330624,"t","f","t","f","f"
"'1992'",8620148,210649,"f","f","f","f","f"
"'1993'",4347750,133333,"f","f","f","f","f"
"'1994'",12929191,187528,"t","f","f","f","f"
"'1997'",2526825,123647,"f","f","f","f","f"
"'1998'",4453387,231820,"t","f","f","f","f"
"'2001'",3129445,217364,"f","f","f","f","f"
"'2002'",2074555,142007,"t","f","f","f","f"
"'2003'",3862559,142580,"t","f","f","f","f"
"'2004'",2362626,80729,"t","f","f","f","f"
"'2005'",2154694,88320,"t","f","f","f","f"
"'2006'",19381665,279141,"t","f","f","f","f"
"'2009'",20338341,641158,"f","f","f","f","f"
"'2014'",34532137,754419,"f","f","f","f","f"
"'2018'",6492121,503605,"f","t","f","t","f"
"'2019'",2600633,292825,"f","f","f","t","f"
"'2022'",5715979,459447,"f","f","f","t","f"
"'2023'",3663242,444563,"f","f","f","t","f"
"'2024'",1989059,212342,"f","f","f","t","f"
"'2026'",5684904,163583,"f","t","f","f","f"
"'2027'",3953024,581558,"f","f","f","t","f"
"'2029'",10933763,678750,"f","f","f","t","f"
"'2030'",10729902,225195,"f","t","f","f","f"
"'2031'",17047368,1215429,"t","f","f","t","f"
"'2032'",10349305,172750,"f","f","f","f","f"
"'2033'",13521181,348745,"f","f","f","f","f"
"'2034'",1009262,36661,"f","f","f","f","f"
"'2035'",7679652,255934,"f","f","f","f","f"
"'2036'",1527037,99539,"t","f","f","f","f"
"'2037'",1865023,122170,"f","t","f","f","f"
"'2038'",16106358,263131,"f","f","f","f","f"
"'2039'",1754058,124147,"f","t","f","t","f"
"'2040'",3096035,337162,"f","f","f","f","f"
"'2043'",2426850,178743,"f","t","f","f","f"
"'2044'",10195637,594250,"f","f","f","f","f"
"'2047'",7665456,570325,"f","f","f","f","f"
"'2050'",3256253,288606,"f","f","f","t","f"
"'2051'",8179467,411858,"f","f","f","t","f"
"'2054'",1506435,130972,"f","f","f","f","f"
"'2055'",8286613,353820,"f","f","f","f","f"
"'2059'",4729085,308099,"f","t","f","f","f"
"'2060'",3536055,171708,"f","f","f","f","f"
"'2062'",10646509,276445,"f","f","f","f","f"
"'2067'",3218037,220263,"f","f","f","t","f"
"'2068'",10523179,344442,"f","f","f","f","f"
"'2069'",4001673,158303,"f","f","f","f","f"
"'2070'",2501014,138080,"t","f","f","t","f"
"'2071'",8763333,294725,"f","f","f","f","f"
"'2075'",6480368,297558,"f","f","f","f","f"
"'2083'",48946465,1639143,"f","t","f","f","t"
"'2086'",20406762,150044,"f","t","f","t","f"
"'2087'",1702997,30474,"f","t","f","t","f"
"'2093'",5723353,84391,"t","f","f","f","f"
"'2094'",16372912,249722,"f","f","f","t","f"
"'2100'",11090514,95283,"t","f","f","f","f"
"'2101'",10432043,120506,"f","t","f","t","f"
"'2105'",3023837,68399,"t","f","f","t","f"
"'2121'",22160415,1178602,"t","f","t","f","f"
"'2124'",2395206,156249,"f","f","f","t","f"
"'2127'",4417711,597413,"t","f","f","t","f"
"'2128'",2999735,341993,"t","f","t","f","f"
"'2131'",10236790,699208,"t","f","t","f","f"
"'2132'",11400551,688746,"f","f","f","f","t"
"'2133'",4187171,317818,"t","f","t","f","f"
"'2136'",13273811,504924,"f","f","f","t","f"
"'2139'",49196575,1058619,"f","f","t","t","f"
"'2142'",2829300,160583,"t","f","t","f","f"
"'2143'",18619600,484099,"f","f","f","f","f"
"'2145'",1416481,127440,"f","t","f","f","f"
"'2146'",5516969,241873,"f","t","f","f","f"
"'2148'",1358843,44435,"f","f","f","f","t"
"'2149'",9235805,488863,"f","t","f","f","f"
"'2150'",6996329,206235,"t","f","f","f","f"
"'2151'",21704363,394924,"f","f","f","f","f"
"'2153'",1216873,64533,"f","f","f","f","f"
"'2154'",5382931,88002,"f","f","f","f","f"
"'2158'",5146852,124965,"f","t","f","f","f"
"'2160'",2076139,78868,"f","f","f","f","f"
"'2165'",2173495,88316,"f","t","f","f","f"
"'2167'",10979653,524075,"f","f","t","f","f"
"'2168'",3037104,211688,"f","f","f","f","f"
"'2169'",2495900,82865,"f","f","f","f","f"
"'2172'",20027103,326395,"f","f","f","f","f"
"'2173'",740904,49969,"f","f","f","f","f"
"'2174'",3526910,174141,"f","t","f","f","f"
"'2175'",10297909,954514,"f","f","f","f","f"
"'2176'",42377254,1604831,"f","f","f","t","f"
"'2179'",34852018,2459325,"f","f","f","f","t"
"'2183'",9215490,881522,"t","f","f","f","f"
"'2187'",6705585,145189,"f","f","f","f","f"
"'2196'",7136105,204806,"f","f","f","f","f"
"'2206'",24743648,1012021,"t","f","f","f","f"
"'2209'",4667197,240980,"f","f","f","f","f"
"'2210'",12505937,247293,"f","t","f","f","f"
"'2220'",12133938,1026994,"f","f","f","f","t"
"'2222'",9967410,743038,"f","f","f","f","t"
"'2223'",1969199,263560,"f","f","f","f","t"
"'2226'",33288676,2280435,"f","f","f","f","t"
"'2227'",4310325,576429,"f","f","f","f","t"
"'2229'",2116051,207968,"f","f","f","f","t"
"'2233'",2272380,62406,"f","f","f","f","t"
"'2236'",16601926,1386303,"f","f","f","f","t"
"'2241'",2369513,316613,"f","f","f","f","t"
"'2244'",5107139,346675,"f","f","f","f","f"
"'2247'",32020446,2142576,"f","f","f","f","t"
"'2251'",9047287,913628,"f","f","f","f","t"
"'2252'",11539629,764081,"f","f","f","f","t"
"'2264'",2801370,147137,"t","f","t","f","f"
"'2268'",12874219,454426,"t","f","t","f","f"
"'2269'",2258201,116925,"f","f","t","t","f"
"'2270'",3199981,174111,"f","t","t","t","f"
"'2271'",20518283,694569,"t","f","t","f","f"
"'2273'",2850695,111769,"t","f","f","f","f"
"'2276'",7402876,342680,"t","f","t","f","f"
"'2277'",63527089,1859102,"f","f","t","t","f"
"'2279'",11108507,383792,"t","f","t","f","f"
"'2280'",7683223,381791,"t","f","t","t","f"
"'2281'",12309743,445781,"t","f","t","f","f"
"'2282'",6421782,299516,"t","f","t","t","f"
"'2285'",6241605,295665,"t","f","t","f","f"
"'2288'",10913463,507852,"f","f","f","f","f"
"'2289'",13603247,509033,"t","t","t","t","f"
"'2292'",8850236,495532,"f","f","f","f","f"
"'2294'",3147191,125551,"t","f","t","f","f"
"'2296'",1619199,142218,"f","f","f","f","f"
"'2297'",2010576,168949,"t","f","t","f","f"
"'2298'",2822890,131419,"f","f","f","t","f"
"'2301'",867181,65427,"f","f","f","t","f"
"'2309'",1327363,68623,"f","t","f","t","f"
"'2312'",1125088,30168,"f","f","f","f","f"
"'2313'",1186304,82951,"f","f","f","f","f"
"'2314'",893235,66589,"t","f","f","f","f"
"'2317'",1610578,116481,"f","f","f","t","f"
"'2320'",1027944,70900,"f","f","f","t","f"
"'2323'",1003618,65373,"f","f","f","f","f"
"'2327'",525408,52111,"f","f","f","t","f"
"'2334'",346351,22972,"f","f","f","t","f"
"'2336'",762503,66286,"t","f","f","f","f"
"'2339'",2580105,100152,"t","f","f","f","f"
"'2340'",4303999,244659,"f","f","f","f","f"
"'2341'",7657383,706245,"t","f","f","f","f"
"'2342'",20132598,840461,"t","f","f","f","f"
"'2343'",39056161,1471543,"t","f","f","f","f"
"'2346'",63207934,2706287,"t","f","f","f","f"
"'2347'",31835191,1617247,"t","f","f","f","f"
"'2350'",6816670,452328,"t","f","f","f","f"
"'2352'",22994045,1322398,"t","f","f","f","f"
"'2355'",1427960,44176,"t","f","f","f","f"
"'2357'",1644639,55199,"t","f","f","f","f"
"'2358'",1843843,59527,"t","f","f","f","f"
"'2359'",8241161,75119,"t","f","f","f","f"
"'2360'",9449244,373035,"t","f","f","f","f"
"'2361'",2416444,100211,"t","f","f","f","f"
"'2362'",9040222,362463,"t","f","f","f","f"
"'2363'",5945146,139615,"t","f","f","f","f"
"'2364'",8178707,247121,"t","f","f","f","f"
"'2369'",17869880,388098,"t","f","f","f","f"
"'2370'",25732798,401513,"f","f","f","f","f"
"'2372'",4788968,186920,"t","f","f","f","f"
"'2373'",8182616,270105,"t","f","f","f","f"
"'2375'",17011191,616964,"t","f","f","f","f"
"'2378'",5016697,127862,"f","f","f","f","f"
"'2379'",39212427,927069,"f","f","f","f","f"
"'2380'",33561540,1406034,"t","f","f","f","f"
"'2381'",16398392,273179,"f","f","f","f","f"
"'2383'",4737254,129092,"f","f","f","f","f"
"'2384'",8335831,322044,"f","f","f","f","f"
"'2385'",3105774,261732,"t","f","f","f","f"
"'2394'",1778908,266260,"f","f","f","f","f"
"'2395'",1856911,223510,"f","f","f","t","f"
"'2398'",9255018,351804,"f","f","t","t","f"
"'2401'",5223175,186817,"t","f","t","f","f"
"'2402'",11754555,386785,"t","t","t","f","f"
"'2404'",4333345,239002,"f","f","t","f","t"
"'2405'",37690351,1300648,"t","f","t","f","f"
"'2407'",37691438,1078381,"t","f","t","t","f"
"'2408'",11081113,428018,"t","f","t","t","f"
"'2415'",20015185,750595,"t","f","t","f","f"
"'2416'",7265331,385031,"t","f","t","t","f"
"'2417'",5337859,268462,"f","t","t","f","f"
"'2418'",5561848,198559,"f","f","f","f","f"
"'2419'",24502553,1228055,"f","f","f","f","f"
"'2420'",1605234,118300,"t","f","t","t","f"
"'2422'",8421065,430914,"t","f","t","t","f"
"'2424'",24554986,691739,"t","f","t","t","f"
"'2425'",15428640,477619,"t","f","t","f","f"
"'2427'",2888523,292151,"t","f","f","t","f"
"'2428'",2012676,84672,"t","f","f","f","f"
"'2429'",19489619,312816,"f","f","f","f","f"
"'2430'",13625376,524563,"f","f","f","f","f"
"'2432'",2271735,44287,"t","t","f","f","f"
"'2436'",9819661,713217,"t","f","f","f","f"
"'2437'",3542349,417093,"f","f","f","t","f"
"'2439'",11489542,796197,"t","f","f","t","f"
"'2440'",7416657,558275,"t","f","f","t","f"
"'2441'",4492494,303316,"f","f","f","f","f"
"'2442'",6340109,539348,"f","f","f","f","f"
"'2444'",27206885,1558973,"t","f","f","t","f"
"'2446'",34264722,775074,"f","f","f","f","f"
"'2453'",8347241,698503,"f","f","f","f","f"
"'2454'",4969082,607415,"t","f","f","t","f"
"'2455'",7096437,685510,"f","f","f","f","f"
"'2457'",2790152,427217,"t","f","f","t","f"
"'2458'",14678061,1314064,"f","f","f","f","f"
"'2459'",5049626,505101,"f","f","f","f","f"
"'2460'",6127188,309286,"f","f","f","f","f"
"'2462'",2877331,211762,"f","f","f","t","f"
"'2463'",12129241,1136158,"t","f","f","f","f"
"'2465'",4247118,421135,"f","f","f","f","f"
"'2467'",6949092,542511,"f","f","f","f","f"
"'2468'",6567589,611924,"f","f","f","f","f"
"'2469'",20328475,1053640,"t","f","f","f","f"
"'2470'",2998155,149413,"f","t","f","f","f"
"'2471'",8982700,183344,"f","f","f","f","f"
"'2473'",6513522,198718,"f","f","f","f","f"
"'2474'",6687962,260630,"f","f","f","f","t"
"'2477'",2965104,98040,"f","f","f","f","f"
"'2478'",16705663,739836,"f","f","f","f","f"
"'2479'",2942478,141224,"f","f","f","f","t"
"'2480'",3057725,232551,"f","t","f","f","f"
"'2481'",3354019,200290,"t","f","f","f","f"
"'2484'",3190567,178593,"f","t","f","f","f"
"'2486'",2694692,119793,"f","t","f","f","f"
"'2487'",4078165,352089,"t","f","t","f","f"
"'2488'",4661222,347990,"f","f","f","f","f"
"'2490'",9507601,627803,"f","f","f","f","f"
"'2491'",3211375,141539,"f","f","f","f","f"
"'2493'",8099400,290155,"t","f","f","f","f"
"'2495'",1106951,70447,"t","f","t","f","f"
"'2496'",1231647,105898,"f","t","f","f","f"
"'2497'",3057951,49079,"f","t","f","f","f"
"'2498'",14332773,650829,"f","t","f","f","f"
"'2500'",16670911,687071,"f","t","f","f","f"
"'2506'",2264311,186935,"f","t","f","t","f"
"'2508'",924202,139440,"f","t","f","f","f"
"'2509'",5111510,714104,"f","t","f","f","f"
"'2512'",7721801,108309,"f","f","f","t","f"
"'2514'",874136,108373,"f","t","f","f","f"
"'2521'",30031038,1124664,"f","t","f","t","f"
"'2522'",6004238,824388,"f","f","f","t","t"
"'2523'",14018595,1055068,"f","f","f","t","f"
"'2524'",32648095,833919,"t","f","t","f","f"
"'2525'",7802997,658704,"t","f","f","f","f"
"'2526'",9031187,391122,"t","f","f","t","f"
"'2531'",47185596,1111368,"t","f","t","f","f"
"'2532'",8524032,390157,"t","f","t","t","f"
"'2535'",38836718,1458709,"f","t","t","t","f"
"'2536'",4690925,130561,"f","f","t","t","f"
"'2537'",5030206,388469,"t","f","t","t","f"
"'2538'",12782696,482865,"f","f","t","t","f"
"'2542'",35950161,813939,"t","f","t","t","f"
"'2544'",21908959,1231368,"t","f","t","t","f"
"'2546'",9693254,786727,"f","f","f","t","f"
"'2552'",4131565,603855,"f","f","f","t","f"
"'2558'",15529109,1131483,"t","f","f","t","f"
"'2560'",2100183,266843,"t","f","f","f","f"
"'2565'",5246304,542630,"t","f","f","f","f"
"'2569'",8170479,806549,"t","f","f","f","f"
"'2570'",6922295,763487,"t","f","f","f","f"
"'2571'",3159105,488785,"f","f","f","t","f"
"'2572'",28147206,638465,"t","f","t","f","f"
"'2573'",9070710,249461,"t","f","t","f","f"
"'2574'",15678987,355422,"t","f","f","f","f"
"'2575'",5350404,124900,"t","f","t","t","f"
"'2576'",16025627,247385,"f","f","f","f","f"
"'2577'",3297665,134787,"t","f","t","f","f"
"'2578'",2281590,93515,"f","t","t","f","f"
"'2579'",16969249,277246,"f","f","f","f","f"
"'2580'",35008364,795638,"t","f","t","f","f"
"'2582'",53147777,1276281,"t","f","t","f","f"
"'2583'",2935279,180689,"t","f","t","t","f"
"'2584'",9381884,678491,"t","f","t","t","f"
"'2585'",7102895,135939,"t","f","f","f","f"
"'2586'",8404399,168517,"f","f","f","f","f"
"'2587'",8344091,499008,"f","t","t","f","f"
"'2591'",19935432,849312,"t","f","t","f","f"
"'2593'",13073699,491534,"t","f","t","f","f"
"'2594'",3361981,88632,"f","f","f","f","f"
"'2600'",22745325,1182910,"t","f","t","f","f"
"'2601'",10492203,611624,"t","f","t","t","f"
"'2605'",68069609,1335102,"f","t","f","f","f"
"'2606'",22665259,1064047,"t","f","t","t","f"
"'2607'",31577829,1513232,"t","f","f","t","f"
"'2608'",45662991,884825,"f","f","t","f","f"
"'2609'",7926417,734371,"f","f","f","t","f"
"'2612'",8360841,529844,"f","f","t","f","f"
"'2614'",21686421,1370603,"t","f","t","f","f"
"'2616'",29065859,932082,"f","f","f","f","f"
"'2617'",14624451,391094,"f","f","f","f","f"
"'2618'",3863144,174320,"f","f","f","f","f"
"'2623'",4092610,134815,"t","f","f","f","f"
"'2624'",30647604,683888,"t","f","f","f","f"
"'2625'",18304160,937913,"t","f","f","t","f"
"'2626'",4687448,386360,"t","f","f","t","f"
"'2627'",24355749,886643,"t","f","t","f","f"
"'2628'",11444634,250953,"t","f","t","f","f"
"'2629'",16164235,914510,"t","f","f","f","f"
"'2630'",21755665,1155801,"t","f","f","t","f"
"'2632'",20633725,1000794,"f","f","t","f","f"
"'2634'",2693633,92624,"f","f","f","f","f"
"'2637'",48859758,1617113,"t","f","f","f","f"
"'2638'",22582730,1451140,"f","f","f","f","f"
"'2639'",14051044,709811,"t","f","t","f","f"
"'2640'",16537189,511444,"f","f","t","f","f"
"'2641'",17215949,584044,"f","f","t","f","f"
"'2643'",17873593,514958,"t","f","f","f","f"
"'2644'",1366113,59168,"t","t","f","f","f"
"'2645'",2477608,131664,"f","f","f","t","f"
"'2646'",1395911,81681,"t","f","f","f","f"
"'2652'",4210893,151838,"t","f","t","f","f"
"'2654'",10729820,212714,"f","f","f","f","f"
"'2661'",36979243,818659,"t","f","f","f","f"
"'2664'",11666945,402669,"t","f","f","f","f"
"'2665'",8722346,402776,"t","f","f","t","f"
"'2666'",5461025,247401,"t","f","t","f","f"
"'2667'",14335046,274746,"f","t","f","f","f"
"'2668'",24485157,809655,"f","t","f","f","f"
"'2669'",3700823,203985,"f","t","f","f","f"
"'2670'",2284043,168320,"f","t","f","f","f"
"'2671'",3405514,149543,"f","t","f","f","f"
"'2672'",6777199,263081,"f","t","f","f","f"
"'2673'",7676171,351982,"f","t","f","f","f"
"'2674'",2259660,154930,"f","t","f","f","f"
"'2676'",18490614,633723,"f","t","f","f","f"
"'2677'",1718300,146728,"f","t","f","f","f"
"'2678'",1661024,80270,"f","t","f","f","f"
"'2679'",800081,59111,"f","f","f","f","f"
"'2681'",9781171,523409,"f","t","f","f","f"
"'2688'",2742538,246305,"f","t","f","f","f"
"'2691'",7456382,310056,"f","t","f","f","f"
"'2693'",3617278,126295,"f","f","f","f","f"
"'2698'",11670178,796477,"f","f","f","f","t"
"'2702'",4717333,65022,"f","t","f","f","f"
"'2706'",3398236,72136,"f","t","f","f","f"
"'2708'",13546538,815030,"t","t","t","f","f"
"'2711'",31524501,778859,"f","t","f","f","f"
"'2715'",4689927,139053,"t","t","t","f","f"
"'2716'",30162167,1159783,"f","t","f","f","t"
"'2723'",11394626,301307,"f","f","f","t","f"
"'2724'",646456,38234,"f","f","f","f","f"
"'2730'",1891759,63191,"f","f","f","f","f"
"'2738'",29703697,1476567,"t","f","f","f","f"
"'2742'",7288692,983862,"t","f","f","f","f"
"'2744'",28780697,822914,"f","f","f","f","f"
"'2745'",4787719,508537,"f","t","f","f","f"
"'2746'",26120529,384464,"f","f","f","f","f"
"'2749'",4979521,71573,"f","f","f","f","f"
"'2750'",1822241,46564,"f","f","f","f","f"
"'2755'",3714413,120102,"f","f","f","f","f"
"'2756'",2951463,70855,"f","f","f","f","f"
"'2757'",3390357,86604,"f","f","f","f","f"
"'2761'",2051377,54271,"f","f","f","f","f"
"'2763'",6595794,162482,"f","f","f","f","f"
"'2765'",15523494,252946,"f","f","f","f","f"
"'2771'",9340192,291871,"t","f","f","f","f"
"'2772'",3489434,68856,"f","f","f","f","f"
"'2774'",4784014,142195,"f","f","f","f","f"
"'2775'",22307329,417012,"t","f","f","f","f"
"'2778'",4416379,139122,"f","f","f","f","f"
"'2783'",25879053,1666775,"t","f","f","t","f"
"'2784'",4087183,183881,"t","f","f","f","f"
"'2785'",5674605,205580,"t","f","f","f","f"
"'2786'",21222313,1304374,"t","f","f","f","f"
"'2787'",17059781,1028513,"t","f","f","f","f"
"'2788'",5631583,341108,"t","f","f","f","f"
"'2789'",13087045,845511,"t","f","f","f","f"
"'2792'",6433310,659947,"t","f","f","t","f"
"'2794'",24551614,762398,"t","f","f","f","f"
"'2796'",3837121,446014,"t","f","f","f","f"
"'2797'",7752108,489262,"t","f","f","f","f"
"'2801'",4640379,272665,"f","f","f","t","f"
"'2810'",2172002,192120,"f","t","f","f","f"
"'2811'",5320083,272812,"f","t","f","f","f"
"'2812'",2189405,69596,"t","f","f","f","f"
"'2813'",5741785,115436,"f","f","f","f","t"
"'2815'",26425745,994930,"t","f","t","f","f"
"'2817'",9136897,179312,"t","f","f","f","f"
"'2818'",10785200,587113,"f","t","f","f","f"
"'2820'",1671509,43331,"t","f","t","f","f"
"'2823'",17768528,701151,"t","f","f","f","f"
"'2824'",16335398,473996,"f","t","f","f","f"
"'2828'",6119133,263984,"t","f","f","f","f"
"'2829'",7667663,472643,"f","f","t","f","t"
"'2831'",4059491,211719,"f","t","f","f","f"
"'2834'",26428793,1737953,"t","f","f","f","f"
"'2835'",28078766,769894,"t","f","f","f","f"
"'2836'",10949818,426895,"t","f","f","f","f"
"'2838'",25713982,587952,"f","f","f","f","f"
"'2840'",35590304,1162122,"t","f","t","f","f"
"'2841'",21331983,1128450,"f","f","t","f","t"
"'2842'",8460469,727134,"t","f","f","f","f"
"'2843'",14209690,924576,"t","f","f","f","f"
"'2844'",1304496,52150,"f","f","f","f","f"
"'2846'",6639759,444361,"t","f","f","f","f"
"'2847'",9540263,203762,"t","f","f","f","f"
"'2850'",32843122,692359,"f","f","f","f","f"
"'2851'",7589279,530239,"t","f","f","f","f"
"'2852'",5434531,357300,"t","f","f","f","f"
"'2853'",14620727,856854,"t","f","f","f","f"
"'2854'",4426359,550178,"t","f","f","f","f"
"'2855'",20860857,1699863,"t","f","f","f","f"
"'2857'",9091761,750962,"t","f","f","f","f"
"'2858'",2748508,270583,"f","f","f","f","f"
"'2859'",3687050,410296,"t","f","f","f","f"
"'2861'",14028973,1194898,"t","f","f","t","f"
"'2864'",7974280,595673,"t","f","f","f","f"
"'2869'",4761998,572652,"t","f","f","f","f"
"'2871'",4939442,299382,"t","f","f","f","f"
"'2873'",7839371,311114,"t","f","f","f","f"
"'2893'",25242818,1488855,"t","f","f","f","f"
"'2894'",5146774,491676,"t","f","f","f","f"
"'2896'",1179489,193214,"t","f","f","f","f"
"'2898'",1641150,237020,"t","f","f","f","f"
"'2899'",10567424,1148288,"t","f","f","f","f"
"'2901'",22719178,1278873,"t","f","f","f","f"
"'2902'",10160500,802940,"t","f","f","f","f"
"'2905'",2653976,418634,"f","f","f","f","t"
"'2906'",3876356,467231,"f","f","f","f","t"
"'2907'",5411630,433607,"f","f","f","f","t"
"'2909'",1648534,133308,"f","f","f","f","t"
"'2910'",5963757,717306,"f","f","f","f","t"
"'2911'",2530396,294914,"f","f","f","f","t"
"'2913'",4074745,458171,"f","f","f","f","t"
"'2916'",6356562,896434,"f","f","f","f","t"
"'2919'",13632717,1242703,"f","f","f","f","t"
"'2921'",12953965,556679,"f","f","f","f","t"
"'2922'",5115501,682782,"f","f","f","f","t"
"'2923'",36501247,1905950,"f","f","f","f","t"
"'2924'",4791201,769437,"f","f","f","f","t"
"'2927'",3785091,573328,"f","f","f","f","t"
"'2930'",3644114,415482,"f","f","f","f","t"
"'2931'",11914045,758023,"f","f","f","f","t"
"'2934'",2976571,231652,"f","t","f","f","f"
"'2935'",1810692,90230,"t","t","f","t","f"
"'2936'",3694714,509125,"f","f","f","t","f"
"'2940'",14748830,399574,"f","f","f","t","f"
"'2941'",15014850,942582,"t","f","f","f","f"
"'2944'",18125160,181925,"f","t","f","f","f"
"'2952'",1477502,112230,"f","f","f","f","f"
"'2953'",2518303,80739,"f","f","f","f","f"
"'2955'",4457442,121330,"f","f","f","f","f"
"'2956'",13062185,785259,"t","f","f","f","f"
"'2959'",9990558,322281,"f","f","f","f","f"
"'2961'",15183125,327206,"f","f","f","f","f"
"'2963'",11535355,246516,"f","f","f","f","f"
"'2964'",10356836,244618,"f","f","f","f","f"
"'2965'",2434471,53604,"t","f","f","f","f"
"'2966'",13210522,156491,"f","f","f","f","f"
"'2967'",5597290,254577,"t","f","f","f","f"
"'2969'",7570188,190712,"f","f","f","f","f"
"'2970'",13562351,233657,"f","f","f","f","f"
"'2973'",3364417,246935,"t","f","f","f","f"
"'2975'",3889558,137287,"f","f","f","f","f"
"'2976'",9325649,897137,"f","f","f","f","t"
"'2991'",1733992,215256,"f","f","f","f","f"
"'3003'",9862384,759219,"f","f","f","f","f"
"'3004'",3575429,417206,"f","f","f","f","f"
"'3008'",1819263,269775,"f","f","f","f","f"
"'3011'",13716498,900294,"t","f","f","f","f"
"'3012'",3704421,437684,"f","f","f","f","f"
"'3015'",4511010,447429,"f","f","f","f","f"
"'3019'",21422519,1546124,"f","f","f","f","f"
"'3026'",19614822,662880,"f","t","t","t","f"
"'3027'",6816906,205370,"f","f","f","f","f"
"'3028'",25687954,344893,"f","f","f","f","f"
"'3030'",31633514,1032489,"t","f","t","t","f"
"'3032'",14859959,276251,"f","f","f","f","f"
"'3033'",3037449,185454,"f","f","t","f","f"
"'3034'",15791649,171123,"f","f","f","f","t"
"'3035'",2370261,13604,"f","f","f","f","t"
"'3037'",7167914,132893,"f","f","f","f","f"
"'3041'",5096151,99923,"t","f","f","f","f"
"'3043'",9601656,137999,"f","f","f","f","f"
"'3050'",3884776,158552,"f","f","f","f","f"
"'3057'",81283945,1733139,"f","f","t","f","f"
"'3058'",2203278,173361,"f","f","f","f","f"
"'3060'",2341981,207754,"f","f","f","t","f"
"'3063'",3139565,208329,"f","f","f","f","f"
"'3065'",2956493,475839,"t","f","f","f","f"
"'3067'",5757483,764894,"t","f","f","t","f"
"'3068'",25444862,818490,"f","f","t","t","f"
"'3069'",2056919,54429,"t","f","t","f","f"
"'3070'",9286869,714821,"f","f","f","t","f"
"'3076'",4022277,396140,"t","f","t","f","f"
"'3078'",21942551,675575,"t","f","f","t","f"
"'3079'",3497396,236809,"t","f","f","t","f"
"'3081'",23414069,1258372,"f","f","f","t","f"
"'3084'",12775988,701180,"t","f","f","f","f"
"'3086'",2523024,175948,"t","f","f","f","f"
"'3087'",4640704,141209,"t","t","f","f","f"
"'3088'",3183412,179603,"t","f","f","f","f"
"'3094'",3715141,306514,"t","f","f","f","f"
"'3097'",23274476,1300028,"t","f","f","t","f"
"'3101'",2092379,221921,"t","f","f","t","f"
"'3102'",3494249,308323,"f","f","t","f","f"
"'3104'",11451798,963990,"f","f","f","t","f"
"'3105'",11756887,572521,"t","f","t","f","f"
"'3106'",3508385,425727,"t","f","t","f","f"
"'3108'",5168514,331309,"t","f","t","f","f"
"'3109'",13979674,785026,"f","t","f","f","f"
"'3110'",31312447,1272520,"f","f","t","f","f"
"'3112'",2427621,153524,"t","f","t","t","f"
"'3117'",6235530,507021,"t","f","t","f","f"
"'3119'",8802982,720729,"f","f","f","t","f"
