purchaseid,temperature_avg,temperature_stdev,fuel_price_avg,fuel_price_stdev,cpi_avg,cpi_stdev,unemployment_avg,unemployment_stdev,holidayfreq
'45-43',45-43,52.26,6.36359175309043,3.49666666666667,0.426129479540351,187.6565557,4.76665270669262,8.638,0.103590540108743,6
'45-36',45-36,67.89,10.0956475770502,3.471,0.61835992755029,187.0051388,4.41617202565309,8.67766666666667,0.0498029450264231,5
'45-44',45-44,42.425,2.11424927574797,3.2985,0.357088924499214,185.31898915,3.74960871616852,8.6235,0.142128463018551,4
'45-45',45-45,39.095,12.0985970261018,3.3195,0.297691954879544,185.30759415,3.89706395599171,8.6235,0.142128463018551,4
'45-46',45-46,40.925,14.7290342521158,3.335,0.275771644662751,185.3580487,4.01681439857692,8.6235,0.142128463018551,4
'45-47',45-47,39.65,12.8127748751002,3.3165,0.248194480196473,185.447495,4.10532762128008,8.6235,0.142128463018551,3
'45-48',45-48,39.93,14.5098311499479,3.3155,0.193040151263925,185.53694125,4.19384091469833,8.6235,0.142128463018551,3
'05-10',05-10,59.54,4.98923841883714,3.29933333333333,0.470287500719863,215.830959466667,5.33122883780833,6.34733333333333,0.360214288074923,7
'05-11',05-11,64.3866666666667,0.87751543196353,3.34333333333333,0.479651262203422,215.921186,5.44869077816412,6.34733333333333,0.360214288074923,7
'05-12',05-12,66.76,3.43815357423138,3.35166666666667,0.507008218210843,216.008904633333,5.49115210832622,6.34733333333333,0.360214288074923,7
'05-13',05-13,65.5966666666667,3.54968073681733,3.383,0.546321334015063,216.096623266667,5.5370595536352,6.299,0.308538490305515,7
'05-14',05-14,70.5233333333333,0.951016999496819,3.44933333333333,0.548766191864384,216.1843419,5.58632827469962,6.25166666666667,0.390473217178013,7
'05-15',05-15,72.4566666666667,2.14854214139125,3.496,0.560891255057523,216.281218533333,5.61681637129955,6.25166666666667,0.390473217178013,7
'05-16',05-16,72.29,4.31695494532905,3.50333333333333,0.58763112011987,216.449431733333,5.50321757579921,6.25166666666667,0.390473217178013,7
'05-17',05-17,74.5066666666667,5.42909139113843,3.461,0.607953123192895,216.617644966667,5.38962784562368,6.25166666666667,0.390473217178013,7
'05-18',05-18,74.3033333333333,7.06323108310461,3.45333333333333,0.652812632639207,216.785858166667,5.27604771840587,6.25166666666667,0.390473217178013,7
'05-19',05-19,77.1766666666667,3.62927449131851,3.41833333333333,0.658316286699134,216.9540714,5.16247789133112,6.25166666666667,0.390473217178013,7
'05-20',05-20,75.2433333333333,7.51963651603816,3.39133333333333,0.667792133326933,216.881601533333,5.18356101239545,6.25166666666667,0.390473217178013,7
'05-21',05-21,80.6966666666667,2.78701154165746,3.33333333333333,0.599830253766291,216.7662917,5.25283728391261,6.25166666666667,0.390473217178013,7
'05-22',05-22,81.5933333333333,2.06650268166623,3.28966666666667,0.546554053441497,216.6509819,5.32378195976258,6.262,0.39925305258695,7
'05-23',05-23,81.9233333333333,1.46192795080111,3.24733333333333,0.533315416365713,216.535672066667,5.39632913337579,6.262,0.39925305258695,7
'05-24',05-24,84.1533333333334,2.6043297282276,3.21766666666667,0.529249783498622,216.521955133333,5.41104086174109,6.262,0.39925305258695,7
'05-25',05-25,82.9966666666667,2.17233361464943,3.18266666666667,0.512891151545173,216.6118398,5.36376064511795,6.262,0.39925305258695,7
'05-26',05-26,85.1166666666667,2.38676210237489,3.15,0.457423217600511,216.701724466667,5.31648381017898,6.27533333333333,0.411115960932353,7
'05-27',05-27,85.03,2.33660009415429,3.11133333333333,0.43810539066911,216.791609133333,5.26921041089856,6.20933333333333,0.525359242169888,7
'05-28',05-28,85.61,4.22787180505778,3.17433333333333,0.447128989591746,216.878368866667,5.22279334552522,6.20933333333333,0.525359242169888,7
'05-29',05-29,85.2433333333333,3.65033331811402,3.20866666666667,0.501394389012616,216.889195733333,5.23877374121453,6.20933333333333,0.525359242169888,7
'05-30',05-30,87.1766666666667,2.182758193967,3.236,0.551745412305351,216.9000226,5.25515990102573,6.20933333333333,0.525359242169888,7
'05-31',05-31,87.3466666666666,3.52534159101424,3.226,0.577687631856522,216.9108495,5.2719481925846,6.20933333333333,0.525359242169888,7
'05-33',05-33,86.3833333333333,3.66950042012992,3.23566666666667,0.566155750066475,216.978598466667,5.31493197856101,6.20933333333333,0.525359242169888,7
'05-34',05-34,82.3866666666667,5.90115525412882,3.25566666666667,0.549185153962973,217.069567233333,5.34714193443987,6.20933333333333,0.525359242169888,7
'05-35',05-35,81.91,9.85070048270679,3.258,0.569670957658896,217.160536066667,5.37942376256357,6.3,0.615334868181551,7
'05-37',05-37,76.1033333333333,7.73450278513967,3.321,0.529170104975704,217.381970566667,5.44404102366759,6.3,0.615334868181551,7
'05-38',05-38,73.3533333333333,4.03331542695745,3.30433333333333,0.51754162473499,217.5768042,5.50610089852246,6.3,0.615334868181551,7
'05-39',05-39,76.69,5.47734424698685,3.24566666666667,0.484345262528018,217.771637866667,5.57121045737553,6.3,0.615334868181551,7
'05-40',05-40,67.23,7.23512957727782,3.197,0.470216971195207,217.966471433333,5.63926411294804,6.16333333333333,0.683328130061484,7
'05-41',05-41,66.99,5.03705270967056,3.201,0.441054418411153,218.152981366667,5.71063961951224,6.16333333333333,0.683328130061484,7
'05-42',05-42,62.8633333333333,9.0292100060489,3.23933333333333,0.423110308706053,218.183358066667,5.78752320938129,6.16333333333333,0.683328130061484,7
'06-01',06-01,46.3433333333333,5.34191289084099,2.90166666666667,0.299500139120724,215.614860233333,4.9332457194766,6.74966666666667,0.571256801564179,7
'06-03',06-03,48.3833333333333,6.19081847039101,2.93266666666667,0.383845455011952,215.9130833,4.91738462431065,6.74966666666667,0.571256801564179,7
'06-04',06-04,48.6766666666667,4.68824416315252,2.95366666666667,0.367750368230041,216.078866033333,4.8674888182174,6.74966666666667,0.571256801564179,7
'06-05',06-05,49.2233333333333,8.43735345551749,2.99133333333333,0.36750555551356,216.244648733333,4.82406243924978,6.74966666666667,0.571256801564179,7
'06-07',06-07,55.0633333333333,5.44442222217686,3.09166666666667,0.397062127800339,216.5130252,4.8826647172876,6.74966666666667,0.571256801564179,7
'06-08',06-08,58.59,4.58758106195428,3.11733333333333,0.413988325117186,216.6136609,5.03400619805116,6.74966666666667,0.571256801564179,7
'06-09',06-09,61.9033333333333,2.63063363723157,3.21233333333333,0.460189453739795,216.7142966,5.19441214722328,6.694,0.50057167318975,7
'06-10',06-10,60.5833333333333,4.82171477104721,3.29933333333333,0.470287500719863,216.814932266667,5.36306933289716,6.694,0.50057167318975,7
'06-11',06-11,64.5166666666667,1.51764071286105,3.34333333333333,0.479651262203422,216.905481533333,5.48131231405133,6.694,0.50057167318975,7
'06-12',06-12,66.2166666666667,4.00026665777876,3.35166666666667,0.507008218210843,216.993724766667,5.52366390459276,6.694,0.50057167318975,7
'06-13',06-13,66.3566666666667,3.59145281652607,3.383,0.546321334015063,217.081968,5.56950330842202,6.693,0.500082993112142,7
'06-14',06-14,71.8766666666667,1.6821514002412,3.44933333333333,0.548766191864384,217.170211266667,5.61874523355686,6.637,0.594759615306882,7
'06-15',06-15,73.1366666666667,1.8302276725407,3.496,0.560891255057523,217.267730833333,5.64898230691279,6.637,0.594759615306882,7
'06-16',06-16,72.56,3.40634701696685,3.50333333333333,0.58763112011987,217.4377155,5.53383345878779,6.637,0.594759615306882,7
'06-17',06-17,75.22,3.69525371253468,3.461,0.607953123192895,217.6077002,5.41869500174654,6.637,0.594759615306882,7
'06-18',06-18,74.1733333333333,7.63267537193451,3.45333333333333,0.652812632639207,217.777684866667,5.30356761182795,6.637,0.594759615306882,7
'06-19',06-19,77.14,4.57795806009612,3.41833333333333,0.658316286699134,217.947669533333,5.18845213697588,6.637,0.594759615306882,7
'06-20',06-20,75.4666666666667,7.33378710717281,3.39133333333333,0.667792133326933,217.8740622,5.20955092120138,6.637,0.594759615306882,7
'06-21',06-21,81.1666666666667,2.87979744658067,3.33333333333333,0.599830253766291,217.757046033333,5.27939541757621,6.637,0.594759615306882,7
'06-22',06-22,81.58,2.10459022139698,3.28966666666667,0.546554053441497,217.6400299,5.3509429708436,6.59733333333333,0.551646928146372,7
'06-23',06-23,81.9733333333333,2.19007610217813,3.24733333333333,0.533315416365713,217.523013733333,5.42412600790805,6.59733333333333,0.551646928146372,7
'06-24',06-24,84.31,2.53678930934356,3.21766666666667,0.529249783498622,217.508823733333,5.43892790808151,6.59733333333333,0.551646928146372,7
'06-25',06-25,83.5366666666667,2.17785062236479,3.18266666666667,0.512891151545173,217.599563766667,5.39135971105132,6.59733333333333,0.551646928146372,7
'06-26',06-26,85.24,3.35608402755353,3.15,0.457423217600503,217.690303733333,5.34379505902797,6.62066666666667,0.569196216900066,7
'06-27',06-27,85.9733333333333,2.76062191060805,3.11133333333333,0.43810539066911,217.7810438,5.29623405669258,6.522,0.739974999577693,7
'06-28',06-28,85.3433333333333,4.51735911051298,3.17433333333333,0.447128989591746,217.868502833333,5.2495776310385,6.522,0.739974999577693,7
'06-29',06-29,85.6633333333333,3.56216694349535,3.20866666666667,0.501394389012616,217.878634933333,5.26651996783038,6.522,0.739974999577693,7
'06-30',06-30,87.2366666666667,2.5838795121554,3.236,0.551745412305351,217.888766966667,5.28386675673872,6.522,0.739974999577693,7
'06-31',06-31,87.0533333333333,4.67482976517185,3.226,0.577687631856522,217.898899066667,5.30161398194832,6.522,0.739974999577693,7
'06-33',06-33,86.19,3.91590347174092,3.23566666666667,0.566155750066475,217.965950966667,5.34613995915074,6.522,0.739974999577693,7
'06-34',06-34,81.8633333333333,7.21975992213964,3.25566666666667,0.549185153962967,218.057320133333,5.37868442691458,6.522,0.739974999577693,7
'06-35',06-35,81.83,10.3762758251696,3.258,0.569670957658896,218.148689233333,5.41130326929873,6.53333333333333,0.750521374334755,7
'06-37',06-37,76.76,8.01073654541196,3.321,0.529170104975704,218.3713387,5.47641201477685,6.53333333333333,0.750521374334755,7
'06-38',06-38,73.4233333333333,4.38859126979631,3.30433333333333,0.51754162473499,218.5675383,5.53840096398342,6.53333333333333,0.750521374334755,7
'06-39',06-39,76.9066666666667,6.11140191227311,3.24566666666667,0.484345262528018,218.763737833333,5.60348252130348,6.53333333333333,0.750521374334755,7
'06-40',06-40,68.28,7.43809115297739,3.197,0.470216971195207,218.959937433333,5.67155012094743,6.29566666666667,0.867650467258178,7
'06-41',06-41,66.26,4.62124442114877,3.201,0.441054418411153,219.147752933333,5.74299776881091,6.29566666666667,0.867650467258178,7
'06-42',06-42,63.7333333333333,9.32175055090689,3.23933333333333,0.423110308706053,219.1782864,5.82038057279245,6.29566666666667,0.867650467258178,7
'07-01',07-01,13.0966666666667,4.83165948027521,2.85233333333333,0.258778541099017,192.431969933333,3.69859668902988,8.696,0.393451394710929,7
'07-03',07-03,26.6966666666667,1.12482591245633,2.85933333333333,0.271009839919761,192.6289858,3.7363858565507,8.696,0.393451394710929,7
'07-04',07-04,20.64,9.17336906485288,2.87733333333333,0.252747568402417,192.6986573,3.72090363033301,8.696,0.393451394710953,7
'07-05',07-05,18.6666666666667,19.2053360640561,2.88733333333333,0.231733323743773,192.768328833333,3.70551352625083,8.696,0.393451394710953,7
'07-07',07-07,24.4566666666667,6.27880827333764,2.952,0.227290562936521,192.865122066667,3.69668369498323,8.696,0.393451394710953,7
'07-08',07-08,21.7333333333333,3.74000445632533,2.98233333333333,0.230211496961664,192.878053033333,3.70069726680795,8.696,0.393451394710953,7
'07-09',07-09,27.2466666666667,9.53835066105943,3.04933333333333,0.281628005236223,192.890984066667,3.70497056060052,8.679,0.373434063791726,7
'07-10',07-10,28.1966666666667,6.74937281036787,3.136,0.337040056966529,192.903915033333,3.70950278844884,8.679,0.373434063791726,7
'07-11',07-11,35.6233333333333,7.24522831478301,3.219,0.395205010089704,192.944134466667,3.75915971648129,8.679,0.373434063791726,7
'07-12',07-12,34.6066666666667,8.69886391049622,3.28466666666667,0.45790974365407,193.0150045,3.87072038270394,8.679,0.373434063791726,7
'07-13',07-13,36.27,10.3515795896085,3.32566666666667,0.505767074188636,193.085874533333,3.98241062203983,8.60466666666667,0.353599113875174,7
'07-14',07-14,38.3333333333333,6.98875048440943,3.38566666666667,0.556131579154909,193.156744633333,4.09421996468036,8.54933333333333,0.438287957093671,7
'07-15',07-15,36.8766666666667,7.86929052287012,3.43333333333333,0.577378847320655,193.231312666667,4.20400947828273,8.54933333333333,0.438287957093671,7
'07-16',07-16,39.2466666666667,7.38014453336335,3.44933333333333,0.602107410129901,193.238009766667,4.17358633815752,8.54933333333333,0.438287957093671,7
'07-17',07-17,44.1733333333333,15.1170709243998,3.44233333333333,0.624936263416785,193.2447069,4.14462134368846,8.54933333333333,0.438287957093671,7
'07-18',07-18,41.85,13.8857012786535,3.446,0.651492900959023,193.251404,4.11714526263162,8.54933333333333,0.438287957093671,7
'07-19',07-19,49.58,13.5200332839827,3.44033333333333,0.657025367343855,193.2581011,4.09118824774684,8.54933333333334,0.438287957093628,7
'07-20',07-20,46.09,8.75555252397016,3.44633333333333,0.668875424375369,193.268385533333,4.08596385234555,8.54933333333334,0.438287957093628,7
'07-21',07-21,49.35,11.2671247441395,3.438,0.626152537326169,193.292854266667,4.0867549951238,8.54933333333334,0.438287957093628,7
'07-22',07-22,54.0466666666667,7.81940108533468,3.41833333333333,0.597846412829694,193.317322933333,4.08761387440125,8.56733333333333,0.464118878449611,7
'07-23',07-23,58.1233333333333,4.88616755068144,3.39566666666667,0.592946315726251,193.3417917,4.08854049457549,8.56733333333333,0.464118878449611,7
'07-24',07-24,56.77,7.05727992926449,3.373,0.583845870071887,193.402771166667,4.06294810384727,8.56733333333333,0.464118878449611,7
'07-25',07-25,58.3933333333333,10.0080983874727,3.36233333333333,0.582567878734603,193.503966,4.00612849316733,8.56733333333333,0.464118878449652,7
'07-26',07-26,64.4833333333333,5.33016259914594,3.32666666666667,0.5534549063233,193.605160866667,3.94934380255052,8.57633333333333,0.465184192910018,7
'07-27',07-27,61.8166666666667,2.79682558150036,3.292,0.524034350019161,193.7063557,3.89259557331347,8.50366666666667,0.581599805135222,7
'07-28',07-28,59.57,4.94384465775379,3.28933333333333,0.492128370786869,193.8175219,3.83387705598031,8.50366666666667,0.581599805135222,7
'07-29',07-29,59.56,3.32510150220997,3.28733333333333,0.481348453132795,193.911966066667,3.83278800025421,8.50366666666667,0.581599805135239,7
'07-30',07-30,59.61,4.34535384059804,3.28266666666667,0.477895734792989,194.006410266667,3.83387564684465,8.50366666666667,0.581599805135239,7
'07-31',07-31,55.86,5.99515637827742,3.285,0.443595536496931,194.100854433333,3.83713804066417,8.50366666666667,0.581599805135239,7
'07-33',07-33,54.76,5.66303805390708,3.28133333333333,0.417480937688578,194.272999266667,3.81569020010408,8.50366666666667,0.581599805135239,7
'07-34',07-34,54.8066666666667,6.33968716368043,3.27866666666667,0.422180451150137,194.349794566667,3.76363548785618,8.50366666666667,0.581599805135239,7
'07-35',07-35,54.6166666666667,5.33998439448406,3.27533333333333,0.447723500983959,194.426589833333,3.71214465600269,8.54366666666667,0.636127607743395,7
'07-37',07-37,44.3966666666667,8.92222132281718,3.339,0.500688525932045,194.576999266667,3.63501358356958,8.54366666666667,0.636127607743395,7
'07-38',07-38,44.0933333333333,7.47399714565995,3.36933333333333,0.533951620779761,194.691837566667,3.72715667569264,8.54366666666667,0.636127607743395,7
'07-39',07-39,44.2533333333333,8.36842478208019,3.35833333333333,0.543258992869267,194.8066758,3.8197988562215,8.54366666666667,0.636127607743395,7
'07-40',07-40,46.1733333333333,4.80993069943143,3.33533333333333,0.543571829046847,194.9215141,3.91290458076352,8.40233333333333,0.795792267701398,7
'07-41',07-41,32.0666666666667,9.66820734848677,3.32933333333333,0.530315315009224,195.040395133333,4.00641382405835,8.40233333333333,0.795792267701398,7
'07-42',07-42,35.3533333333333,8.91906011490746,3.352,0.524240402868757,195.119470966667,4.05881696473609,8.40233333333333,0.795792267701398,7
'08-01',08-01,37.7933333333333,4.98323522757389,2.90166666666667,0.299500139120724,217.4846567,4.98693975295058,6.12866666666667,0.263632951911047,7
'08-03',08-03,42.6566666666667,3.88947725707894,2.93266666666667,0.383845455011952,217.7860953,4.97112778511978,6.12866666666667,0.263632951911065,7
'08-04',08-04,40.8966666666667,4.06042280228712,2.95366666666667,0.367750368230041,217.953437866667,4.92040414414559,6.12866666666667,0.263632951911065,7
'08-05',08-05,38.56,12.1937032930935,2.99133333333333,0.36750555551356,218.1207804,4.87633587445548,6.12866666666667,0.263632951911065,7
'08-07',08-07,45.1366666666667,6.81767066770849,3.09166666666667,0.397062127800339,218.391131933333,4.93593952103793,6.12866666666667,0.263632951911065,7
'08-08',08-08,48.0433333333333,2.81313585404855,3.11733333333333,0.413988325117186,218.492023066667,5.0895925064732,6.12866666666667,0.263632951911047,7
'08-09',08-09,54.77,4.81604609612495,3.21233333333333,0.460189453739803,218.592914233333,5.25251388313807,6.12566666666667,0.260761065600954,7
'08-10',08-10,52.66,5.71154094794033,3.29933333333333,0.470287500719863,218.6938054,5.42386852378009,6.12566666666667,0.260761065600954,7
'08-11',08-11,58.6566666666667,3.46707850117832,3.34333333333333,0.479651262203422,218.784970866667,5.54360255415101,6.12566666666667,0.260761065600954,7
'08-12',08-12,56.2466666666667,3.42235786166975,3.35166666666667,0.507008218210843,218.874215866667,5.58574441977749,6.12566666666667,0.260761065600954,7
'08-13',08-13,59.1866666666667,8.56187090146385,3.383,0.546321334015067,218.963460866667,5.63145391687287,6.13733333333333,0.270511244375038,7
'08-14',08-14,63.4933333333333,1.85863749379278,3.44933333333333,0.548766191864384,219.052705833333,5.68064500709007,6.08866666666667,0.354799004132411,7
'08-15',08-15,63.3633333333333,1.92679353676847,3.496,0.560891255057521,219.1514531,5.71040309898866,6.08866666666667,0.354799004132411,7
'08-16',08-16,64.91,1.23223374406029,3.50333333333333,0.587631120119872,219.324820333333,5.5922938857909,6.08866666666667,0.354799004132411,7
'01-52',01-52,44.55,0,3.129,0,219.5359898,0,7.866,0,1
'02-52',02-52,44.57,0,3.129,0,219.1773063,0,7.441,0,1
'03-52',03-52,48.29,0,3.129,0,223.0090839,0,7.197,0,1
'04-52',04-52,36.89,0,3.119,0,130.0710323,0,5.143,0,1
'05-52',05-52,45.62,0,3.129,0,220.1178226,0,6.3,0,1
'08-17',08-17,69.1133333333333,6.30020899124255,3.461,0.607953123192899,219.498187566667,5.47419796966229,6.08866666666667,0.354799004132411,7
'08-18',08-18,69.53,9.2300975076107,3.45333333333333,0.652812632639213,219.6715548,5.35611627404086,6.08866666666667,0.354799004132411,7
'08-19',08-19,73.3766666666667,8.63254500905329,3.41833333333333,0.658316286699133,219.844922033333,5.23804966975371,6.08866666666667,0.354799004132411,7
'08-20',08-20,69.4966666666667,8.07778641295578,3.39133333333333,0.667792133326933,219.769142733333,5.25918020738815,6.08866666666667,0.354799004132411,7
'08-21',08-21,77.01,4.38974942337265,3.33333333333333,0.599830253766291,219.648868366667,5.33011166253411,6.08866666666667,0.354799004132411,7
'08-22',08-22,78.38,3.63550546691904,3.28966666666667,0.546554053441497,219.528594,5.40281274504059,6.097,0.362110480378585,7
'08-23',08-23,76.3266666666667,5.17312606973115,3.24733333333333,0.533315416365713,219.4083196,5.47721295769391,6.097,0.362110480378585,7
'08-24',08-24,79.7866666666667,4.28462756063248,3.21766666666667,0.529249783498622,219.393226333333,5.49218810311457,6.097,0.362110480378585,7
'08-25',08-25,80.36,3.11298891742332,3.18266666666667,0.512891151545173,219.4855996,5.44407039402716,6.097,0.362110480378585,7
'08-26',08-26,82.5833333333333,5.85269453613736,3.15,0.457423217600503,219.577972833333,5.39595669634101,6.13966666666667,0.402722402323655,7
'08-27',08-27,81.7266666666667,1.65457950347865,3.11133333333333,0.43810539066911,219.670346133333,5.34784701829446,6.047,0.562149446321875,7
'08-28',08-28,80.9433333333333,2.98844998842764,3.17433333333333,0.447128989591746,219.759140566667,5.30073509675205,6.047,0.562149446321875,7
'08-29',08-29,81.5866666666667,3.36691748240626,3.20866666666667,0.501394389012616,219.767945933333,5.31951558649139,6.047,0.562149446321875,7
'08-30',08-30,81.03,5.79997413787346,3.236,0.551745412305351,219.776751333333,5.33869785950671,6.047,0.562149446321875,7
'08-31',08-31,82.1166666666667,5.17614077603511,3.226,0.577687631856522,219.785556666667,5.35827753951118,6.047,0.562149446321875,7
'08-33',08-33,79.8166666666667,3.98698298633605,3.23566666666667,0.566155750066475,219.851277566667,5.40575082408206,6.047,0.562149446321875,7
'08-34',08-34,76.89,6.79988235192342,3.25566666666667,0.549185153962973,219.943411133333,5.43893601557956,6.047,0.562149446321875,7
'08-35',08-35,76.2666666666667,8.07584257730018,3.258,0.569670957658896,220.035544766667,5.47220047224378,6.08633333333333,0.593529555568489,7
'08-37',08-37,66.2966666666667,3.34486671383657,3.321,0.529170104975704,220.260514133333,5.53824986764595,6.08633333333333,0.593529555568489,7
'08-38',08-38,66.18,3.00685882608407,3.30433333333333,0.51754162473499,220.459321933333,5.60010012386564,6.08633333333333,0.593529555568489,7
'08-39',08-39,67.0766666666667,7.94031695421108,3.24566666666667,0.484345262528018,220.658129666667,5.66512481848569,6.08633333333333,0.593529555568489,7
'08-40',08-40,61.5933333333333,5.92712690376502,3.197,0.470216971195207,220.856937466667,5.73321603408673,5.89333333333333,0.684054335073851,7
'08-41',08-41,57.22,3.91506066364221,3.201,0.441054418411153,221.0472461,5.804798754757,5.89333333333333,0.684054335073851,7
'08-42',08-42,55.6066666666667,10.2843683973948,3.23933333333333,0.423110308706053,221.0780788,5.88313229862085,5.89333333333333,0.684054335073851,7
'09-01',09-01,42.4566666666667,4.79679406826402,2.90166666666667,0.299500139120724,217.670724266667,4.99228459194303,6.166,0.432146965741998,7
'09-03',09-03,46.4466666666667,4.50538936534161,2.93266666666667,0.383845455011952,217.972482866667,4.97647734226493,6.166,0.432146965741976,7
'09-04',09-04,45.7033333333333,3.18427909162073,2.95366666666667,0.367750368230041,218.1399806,4.92567095413861,6.166,0.432146965741976,7
'09-05',09-05,44.8933333333333,11.712558786761,2.99133333333333,0.36750555551356,218.307478366667,4.88153845373437,6.166,0.432146965741976,7
'09-07',09-07,51.82,7.43476294174868,3.09166666666667,0.397062127800339,218.578026433333,4.9412413073295,6.166,0.432146965741976,7
'09-08',09-08,54.8266666666667,3.74158166198918,3.11733333333333,0.413988325117186,218.678943,5.09512423776679,6.166,0.432146965741976,7
'09-09',09-09,61.0266666666667,4.01689349290395,3.21233333333333,0.460189453739795,218.7798596,5.25829579763183,6.15566666666667,0.423500098386465,7
'09-10',09-10,57.91,6.10743808810205,3.29933333333333,0.470287500719863,218.8807762,5.4299188369135,6.15566666666667,0.423500098386465,7
'09-11',09-11,63.2833333333333,3.10992497229962,3.34333333333333,0.479651262203422,218.972003,5.54980122300385,6.15566666666667,0.423500098386465,7
'09-12',09-12,62.9466666666667,5.20899542458354,3.35166666666667,0.507008218210843,219.061347666667,5.59192217453211,6.15566666666667,0.423500098386465,7
'09-13',09-13,63.3533333333333,6.32857277222378,3.383,0.546321334015063,219.1506923,5.63761875702152,6.14366666666667,0.412810287339536,7
'09-14',09-14,69.6033333333333,1.56097191945704,3.44933333333333,0.548766191864384,219.240037,5.68680481315835,6.101,0.486710386164108,7
'09-15',09-15,70.54,1.35502767499429,3.496,0.560891255057521,219.338906433333,5.71651528197478,6.101,0.486710386164108,7
'09-16',09-16,70.63,2.28291480349186,3.50333333333333,0.58763112011987,219.5126103,5.59811146997918,6.101,0.486710386164108,7
'09-17',09-17,73.68,3.17919801207784,3.461,0.607953123192901,219.686314133333,5.47972126026784,6.101,0.486710386164108,7
'09-18',09-18,73.61,9.88702685340734,3.45333333333333,0.652812632639204,219.860017966667,5.3613454940992,6.101,0.486710386164108,7
'09-19',09-19,77.45,6.40758144700474,3.41833333333333,0.658316286699134,220.0337218,5.242985265179,6.101,0.486710386164088,7
'09-20',09-20,74.3333333333333,7.51256503022321,3.39133333333333,0.667792133326933,219.957726366667,5.26411903856155,6.101,0.486710386164088,7
'09-21',09-21,81.71,2.88968856453436,3.33333333333333,0.599830253766291,219.837127733333,5.33515884367572,6.101,0.486710386164088,7
'09-22',09-22,81.5366666666667,3.7898592761912,3.28966666666667,0.546554053441497,219.716529133333,5.40797489665164,6.12033333333333,0.504402947387639,7
'09-23',09-23,81.0766666666667,4.10406302745605,3.24733333333333,0.533315416365713,219.595930533333,5.48249639309673,6.12033333333333,0.504402947387639,7
'09-24',09-24,84.7633333333333,3.81598392728986,3.21766666666667,0.529249783498616,219.580747333333,5.49748887877788,6.12033333333333,0.504402947387639,7
'09-25',09-25,84.0933333333333,2.86566455352605,3.18266666666667,0.512891151545171,219.673283133333,5.44931650777276,6.12033333333333,0.504402947387639,7
'09-26',09-26,85.3833333333333,4.90815987243018,3.15,0.457423217600511,219.765818966667,5.40114819931015,6.12833333333333,0.510731175211919,7
'09-27',09-27,86.76,2.46164579092939,3.11133333333333,0.43810539066911,219.8583547,5.35298400770308,6.041,0.661916157832685,7
'09-28',09-28,86.5633333333333,4.03763957447082,3.17433333333333,0.447128989591746,219.947282033333,5.30582683440859,6.041,0.661916157832685,7
'09-29',09-29,86.2566666666667,2.84524749948634,3.20866666666667,0.501394389012616,219.9559554,5.32479036369327,6.041,0.661916157832685,7
'09-30',09-30,87.1733333333333,3.60611055478521,3.236,0.551745412305351,219.964628766667,5.34415536603403,6.041,0.661916157832692,7
'09-31',09-31,88.0733333333333,4.89530727670234,3.226,0.577687631856522,219.973302133333,5.36391749320281,6.041,0.661916157832685,7
'09-33',09-33,84.4533333333333,2.8404635771882,3.23566666666667,0.566155750066475,220.038890566667,5.41168427380629,6.041,0.661916157832685,7
'09-34',09-34,81.3333333333333,6.60687772955837,3.25566666666667,0.549185153962973,220.131100233333,5.4449333748518,6.041,0.661916157832685,7
'09-35',09-35,79.7066666666667,10.1622159656904,3.258,0.569670957658896,220.223309866667,5.4782622271603,6.08033333333333,0.7000659492743,7
'09-37',09-37,72.9533333333333,5.32015350655706,3.321,0.529170104975704,220.4485101,5.5444053647399,6.08033333333333,0.7000659492743,7
'09-38',09-38,71.4433333333333,2.5781065403385,3.30433333333333,0.51754162473499,220.647577433333,5.60624153467152,6.08033333333333,0.7000659492743,7
'09-39',09-39,73.2266666666667,7.66267794790656,3.24566666666667,0.484345262528018,220.846644766667,5.67126041287496,6.08033333333333,0.7000659492743,7
'09-40',09-40,65.9733333333333,6.98678991621561,3.197,0.47021697119521,221.045712066667,5.73935372324786,5.856,0.821104134686954,7
'09-41',09-41,62.9833333333333,3.78736495908891,3.201,0.441054418411148,221.236268833333,5.81094969918715,5.856,0.821104134686954,7
'09-42',09-42,61.1433333333333,9.76861470902257,3.23933333333333,0.423110308706053,221.267131333333,5.88937763403014,5.856,0.821104134686954,7
'10-01',10-01,52.54,8.35667996276033,3.23066666666667,0.245398315669308,127.9304516,1.96478456170983,8.68466666666667,1.11118870284633,7
'10-03',10-03,56.4933333333333,1.86827014463479,3.30366666666667,0.373550978225635,128.081998466667,1.95698634460752,8.68466666666667,1.11118870284633,7
'10-04',10-04,53.13,0.419046536794996,3.24366666666667,0.42514154505686,128.1489232,1.9445309734887,8.68466666666667,1.11118870284633,7
'10-05',10-05,52.55,6.65867103857818,3.256,0.342398890185111,128.2158479,1.93405267857247,8.68466666666667,1.11118870284633,7
'10-07',10-07,59.1166666666667,4.33001539643146,3.42166666666667,0.363571634390435,128.352171966667,1.94865949561761,8.68466666666667,1.11118870284633,7
'10-08',10-08,56.5533333333333,3.26285662163269,3.44266666666667,0.486540166207614,128.4284238,1.9894294941933,8.68466666666667,1.11118870284633,7
'10-09',10-09,59.4133333333333,3.69249689686153,3.54733333333333,0.412840566482186,128.504675666667,2.03180687104921,8.60433333333333,0.996865253348364,7
